Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Sorenari ni Shinken Nan desu. dj - Suki no Katei,7.50,566,,13958,"1,184",4,Doujinshi,1,Unknown,Finished,"Aug  14, 2011","['Boys Love', 'Slice of Life', 'Erotica']",[],,,"Asou, Kai (Story & Art)",0,"[0, 0, 0]"
Aru Yoru. (NightS: Another Night),7.50,862,,10268,"1,800",6,Doujinshi,1,Unknown,Finished,"Mar  3, 2013","['Boys Love', 'Erotica']",[],,,"Yoneda, Kou (Story & Art)",0,"[0, 0, 0]"
Hidoku Shinaide dj - Boku no Brief ni Itazura,7.49,854,,10015,"1,852",4,Doujinshi,1,1,Finished,"Aug  15, 2015","['Boys Love', 'Erotica']",[],,,"Nekota, Yonezou (Story & Art)",0,"[0, 0, 0]"
Lemonade,7.48,1089,,7991,"2,475",2,Doujinshi,1,2,Finished,"Aug  12, 2012","['Boys Love', 'Erotica']",[],,,"Moegi, Yuu (Story & Art), Takaoka, Nanaroku (Story & Art)",0,"[0, 0, 0]"
Hitozukiai ga Nigate na Miboujin no Yukionna-san to Noroi no Yubiwa (The Shy Snow Woman and the Cursed Ring),7.47,561,,9011,"2,127",68,Doujinshi,Unknown,Unknown,Publishing,"Jul  3, 2021 to ?","['Fantasy', 'Hentai']",[],,,"Puuzaki, Puuna (Story & Art)",1,"[1, 0, 0]"
"Semete, Ano Yuki no You ni",7.47,4261,3136,3073,"7,085",94,Doujinshi,1,1,Finished,"Dec  31, 2010","['Drama', 'Romance']",['School'],,,Fujimaru (Story & Art),5,"[5, 0, 0]"
Priapus,7.47,987,,8433,"2,322",62,Doujinshi,Unknown,Unknown,Publishing,"Dec  30, 2011 to ?","['Boys Love', 'Erotica']",[],,,Itto (Story & Art),1,"[1, 0, 0]"
Asagao to Kase-san. dj - Chocolate to Kase-san.,7.46,1670,3228,5841,"3,582",17,Doujinshi,1,1,Finished,"May  5, 2012","['Girls Love', 'Romance']",['School'],,,"Takashima, Hiromi (Story & Art)",0,"[0, 0, 0]"
Sabita Yoru demo Koi wa Sasayaku dj - Azami,7.45,1520,,6655,"3,092",9,Doujinshi,1,Unknown,Finished,"Aug  15, 2015","['Boys Love', 'Erotica']",[],,,"Ogeretsu, Tanaka (Story & Art)",2,"[2, 0, 0]"
Katekyo! dj - Crème Brûlée,7.45,920,,9450,"2,002",2,Doujinshi,1,2,Finished,"Oct  9, 2011","['Boys Love', 'Romance', 'Erotica']",[],,,"Moegi, Yuu (Story & Art), Takaoka, Nanaroku (Story & Art)",0,"[0, 0, 0]"
Sensei wa Dummy (I Am a Dummy),7.44,1207,,6396,"3,228",4,Doujinshi,3,Unknown,Finished,"Oct  25, 2009 to Aug  15, 2010","['Boys Love', 'Comedy', 'Erotica']",[],,,"Nekota, Yonezou (Story & Art)",0,"[0, 0, 0]"
Katekyo! dj - Chocolate Fondue,7.43,604,,13131,"1,291",1,Doujinshi,1,1,Finished,"Dec  30, 2011","['Boys Love', 'Romance', 'Erotica']",[],,,"Moegi, Yuu (Story & Art), Takaoka, Nanaroku (Story & Art)",0,"[0, 0, 0]"
Isekai Harem Monogatari (Tales of a Harem in Another World),7.42,433,,9054,"2,116",45,Doujinshi,Unknown,Unknown,Publishing,"Dec  31, 2017 to ?","['Fantasy', 'Hentai']","['Harem', 'Isekai']",,,"Tachibana, Omina (Story & Art)",0,"[0, 0, 0]"
Neko Para,7.41,818,,6761,"3,044",68,Doujinshi,Unknown,Unknown,Publishing,"Aug  11, 2013 to ?",['Hentai'],[],,,Sayori (Story & Art),0,"[0, 0, 0]"
Mori no Koe,7.41,875,,11228,"1,599",5,Doujinshi,1,5,Finished,"Dec  29, 1997 to Aug  12, 2001","['Boys Love', 'Fantasy', 'Erotica']",['Mythology'],,,"Naono, Bohra (Story & Art)",0,"[0, 0, 0]"
Mesudachi (Boyish Girlfriends),7.40,651,,8526,"2,287",28,Doujinshi,Unknown,Unknown,Publishing,"Nov  23, 2017 to ?",['Hentai'],[],,,Z-ton (Story & Art),1,"[1, 0, 0]"
Jelly Beans,7.40,842,,10525,"1,744",3,Doujinshi,1,Unknown,Finished,"Dec  30, 2013","['Boys Love', 'Romance', 'Erotica']",[],,,"Moegi, Yuu (Story & Art), Takaoka, Nanaroku (Story & Art)",0,"[0, 0, 0]"
Tiny Evil,7.38,1426,,5826,"3,592",79,Doujinshi,Unknown,Unknown,Publishing,"Jul  20, 2015 to ?","['Supernatural', 'Hentai']",[],,,MUK (Story & Art),1,"[1, 0, 0]"
Tsuyogari dj - Shishunki no Himitsu,7.38,474,,15033,"1,062",1,Doujinshi,1,Unknown,Finished,"Aug  16, 2009","['Boys Love', 'Erotica']",[],,,"Nekota, Yonezou (Story & Art)",0,"[0, 0, 0]"
Hyakujitsu no Bara dj - Halloween Special,7.38,587,,13464,"1,246",3,Doujinshi,2,5,Finished,"Oct  26, 2008","['Boys Love', 'Comedy', 'Erotica']",[],,,"Inariya, Fusanosuke (Story & Art)",0,"[0, 0, 0]"
Seiyou Kottou Yougashiten dj,7.38,402,,16382,934,4,Doujinshi,14,14,Finished,2000 to  2006,"['Boys Love', 'Comedy', 'Drama', 'Slice of Life', 'Erotica']",[],,,"Yoshinaga, Fumi (Story & Art)",0,"[0, 0, 0]"
07-Ghost dj - Supreme Sugar,7.36,294,4158,16067,959,13,Doujinshi,1,4,Finished,Not available,['Comedy'],[],,,"Amemiya, Yuki (Story), Ichihara, Yukino (Art)",0,"[0, 0, 0]"
Fake Second,7.36,298,4147,15757,990,3,Doujinshi,Unknown,Unknown,Publishing,2010 to ?,"['Action', 'Boys Love', 'Comedy']",['Detective'],,,"Matoh, Sanami (Story & Art)",0,"[0, 0, 0]"
