Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Little Witch Academia: Detarame Majo to Yousei no Kuni (Little Witch Academia: The Nonsensical Witch and the Country of the Fairies),,,30142,25295,440,5,Novel,1,9,Finished,"Apr  15, 2017","['Adventure', 'Comedy', 'Fantasy']",['School'],Kids,,"Tachibana, Momo (Story), Uekura, Eku (Art)",1,"[1, 0, 0]"
"Shaba no ""Futsuu"" wa Muzukashii",,,30229,61854,46,0,Novel,5,40,Finished,"Apr  5, 2018 to Jan  31, 2020","['Comedy', 'Fantasy']",[],,,"Nakamura, Satsuki (Story), Mura, Karuki (Art)",0,"[0, 0, 0]"
Doupo Cangqiong (Battle Through the Heavens),,,30565,48248,94,22,Novel,27,760,Finished,Jul  2010 to Dec  2012,"['Action', 'Adventure', 'Fantasy']","['Martial Arts', 'Mythology']",,,Tian Can Tudou (Story),0,"[0, 0, 0]"
Shika no Ou (The Deer King),,,30568,35809,202,3,Novel,2,90,Finished,"Sep  24, 2014","['Action', 'Adventure', 'Fantasy']",[],,,"Uehashi, Nahoko (Story)",1,"[1, 0, 0]"
Shousetsu Futari wa Precure: Max Heart,,,30627,71823,13,0,Novel,1,8,Finished,"Oct  19, 2017",['Action'],['Mahou Shoujo'],,,"Inoue, Akiko (Story)",0,"[0, 0, 0]"
"Shousetsu Mahoutsukai Precure! Ima, Jikan Ryokou tte Iimashita!?",,,30628,71636,14,0,Novel,1,Unknown,Finished,"Oct  11, 2017","['Comedy', 'Fantasy']","['Mahou Shoujo', 'Time Travel']",Kids,,"Murayama, Isao (Story), Miyamoto, Emiko (Art)",0,"[0, 0, 0]"
Isekai Ekisha no Kissaten (The Coffee Shop in a Different World Station),,,30641,69613,23,0,Novel,2,31,Finished,"Sep  10, 2016 to May  25, 2017","['Fantasy', 'Gourmet', 'Slice of Life']",['Isekai'],,,"Swind (Story), pon-marsh (Art)",0,"[0, 0, 0]"
Ankoku Joshi (The Dark Maidens),,,30668,30479,294,6,Novel,1,8,Finished,"Oct  27, 2012 to Jan  26, 2013","['Horror', 'Mystery']",['School'],,,"Akiyoshi, Rikako (Story)",1,"[1, 0, 0]"
: Wristcut Jiken (Goth),,,30669,29324,323,9,Novel,1,6,Finished,"Oct  30, 2001 to Jul  3, 2002","['Horror', 'Mystery']",['Psychological'],,The Sneaker,Otsuichi (Story),2,"[1, 1, 0]"
Yotsugogurashi,,,30704,54896,66,1,Novel,Unknown,Unknown,Publishing,"Oct  15, 2018 to ?",['Slice of Life'],['School'],Kids,,"Hino, Himari (Story), Sakura, Oriko (Art)",0,"[0, 0, 0]"
Yuan Zun (Dragon Prince Yuan),,,30713,62822,43,1,Novel,21,1497,Finished,"Nov  30, 2017 to Mar  30, 2021","['Action', 'Adventure', 'Fantasy']",['Martial Arts'],Shounen,,Tian Can Tudou (Story),0,"[0, 0, 0]"
Byousoku 5 Centimeter: One More Side (5 Centimeters per Second: One More Side),,,30800,40166,151,3,Novel,1,3,Finished,"May  20, 2011","['Drama', 'Romance']",[],,,"Kanou, Arata (Story)",1,"[1, 0, 0]"
Perfect Blue: Kanzen Hentai (Perfect Blue: Complete Metamorphosis),,,30851,25653,429,7,Novel,1,9,Finished,"Mar  25, 1991",['Horror'],"['Psychological', 'Showbiz']",,,"Takeuchi, Yoshikazu (Story)",0,"[0, 0, 0]"
Rakuen Tsuihou: Expelled from Paradise,,,31107,51770,77,0,Novel,1,8,Finished,"Oct  17, 2014","['Action', 'Sci-Fi']",['Mecha'],,,"Urobuchi, Gen (Story), Yasugi, Masayoshi (Story)",0,"[0, 0, 0]"
Housekishou Richard-shi no Nazo Kantei (The Case Files of Jeweler Richard),,,31280,20158,667,39,Novel,Unknown,Unknown,Publishing,"Dec  17, 2015 to ?","['Drama', 'Mystery']","['Adult Cast', 'Workplace']",,,"Tsujimura, Nanako (Story)",2,"[2, 0, 0]"
2.43: Seiin Koukou Danshi Volley-bu,,,31282,45528,110,2,Novel,Unknown,Unknown,Publishing,"Jun  1, 2012 to ?",['Sports'],"['School', 'Team Sports']",,,"Kabei, Yukako (Story)",0,"[0, 0, 0]"
