Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Meririrarariri,7.55,748,2575,12335,"1,403",2,One-shot,Unknown,1,Finished,"Jul  21, 2024","['Drama', 'Fantasy']",[],Shounen,Shounen Jump+,Hakuri (Story & Art),1,"[1, 0, 0]"
Fate/Grand Order: Okita Souji Makuai no Monogatari - Koko ni,7.52,208,2813,23822,493,6,One-shot,Unknown,1,Finished,"Apr  12, 2022","['Action', 'Fantasy']",['Historical'],,TYPE-MOON Ace,"Hirano, Ryouji (Story & Art)",0,"[0, 0, 0]"
Jigokuraku Tokubetsu-hen: Mokke no Mori (Hell's Paradise: Jigokuraku Side Story - Forest of Misfortune),7.51,2174,2888,6020,"3,461",7,One-shot,Unknown,1,Finished,"Apr  8, 2023",['Action'],['Historical'],Shounen,Shounen Jump+,"Kaku, Yuuji (Story & Art)",2,"[2, 0, 0]"
Rurouni Kenshin: Yahiko no Sakabatou,7.50,4121,2923,2974,"7,298",32,One-shot,Unknown,1,Finished,"Dec  21, 1999",['Action'],['Historical'],Shounen,Shounen Jump (Weekly),"Watsuki, Nobuhiro (Story & Art)",1,"[1, 0, 0]"
Chikyuu Kiroku 0001,7.50,1864,2946,6662,"3,086",27,One-shot,Unknown,1,Finished,"Nov  8, 2020","['Drama', 'Sci-Fi']",['Space'],Shounen,Shounen Jump+,"Kuramori, Tooru (Story & Art)",2,"[2, 0, 0]"
Light Again,7.50,1741,2951,5913,"3,534",25,One-shot,Unknown,1,Finished,"Sep  26, 2021",['Sci-Fi'],[],Shounen,Shounen Jump+,"Arisaka, Aco (Story & Art)",3,"[3, 0, 0]"
Ruri Dragon,7.49,4118,2961,2921,"7,453",44,One-shot,Unknown,1,Finished,"Dec  28, 2020","['Comedy', 'Supernatural']",[],Shounen,Jump GIGA,"Shindou, Masaoki (Story & Art)",1,"[1, 0, 0]"
Parasol Doumei (A Parasol Alliance),7.49,3048,2997,4146,"5,261",44,One-shot,Unknown,1,Finished,"Apr  30, 2020","['Comedy', 'Romance']",['School'],Shounen,Jump GIGA,"Miura, Kouji (Story & Art)",2,"[2, 0, 0]"
Dear Green,7.49,3785,3021,3482,"6,270",21,One-shot,Unknown,1,Finished,"Oct  18, 2007",['Romance'],[],Shoujo,Ribon Special,"Sakura, Amyuu (Story & Art)",5,"[5, 0, 0]"
Hanazakari no Kimitachi e: Special-hen,7.48,553,3086,13004,"1,307",1,One-shot,Unknown,1,Finished,"Nov  20, 2004",['Romance'],"['Crossdressing', 'School']",Shoujo,Hana to Yume,"Nakajo, Hisaya (Story & Art)",0,"[0, 0, 0]"
Aioi Wakaba to Ita Hitotsuki ni Tsuite,7.47,825,3143,11582,"1,530",8,One-shot,Unknown,1,Finished,"Dec  25, 2020","['Romance', 'Supernatural']",[],Shounen,Shounen Sunday Super,"Ogata, Akane (Story & Art)",0,"[0, 0, 0]"
Serial Experiments Lain: The Nightmare of Fabrication,7.46,9591,3187,893,"21,570",385,One-shot,Unknown,1,Finished,May  1999,[],['Psychological'],,,"ABe, Yoshitoshi (Story & Art)",7,"[7, 0, 0]"
Nageku Shinigami,7.46,3139,3196,4036,"5,411",25,One-shot,Unknown,1,Finished,"Sep  20, 2008","['Fantasy', 'Romance']",[],Shoujo,Hana to Yume,"Miyuki, Mitsubachi (Story & Art)",3,"[3, 0, 0]"
