Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Stay Gold,7.28,504,5001,9276,"2,045",11,Manga,6,43,Finished,"Nov  28, 2012 to Dec  24, 2020",['Boys Love'],[],,onBLUE,Hideyoshico (Story & Art),1,"[0, 1, 0]"
Kindan no Koi wo Shiyou,7.28,2540,5002,4468,"4,826",35,Manga,1,5,Finished,2000,"['Drama', 'Fantasy', 'Romance']",[],Josei,Petit Comic,"Ohmi, Tomu (Story & Art)",2,"[1, 0, 1]"
Gravitation: The Novel,7.28,639,5003,11735,"1,499",22,Light Novel,1,8,Finished,2000 to ?,"['Boys Love', 'Comedy']",[],,,"Murakami, Maki (Art), Jun, Renon (Story)",0,"[0, 0, 0]"
Snow Drop,7.28,979,5004,7807,"2,539",42,Manhwa,12,39,Finished,Sep  1998 to  2003,"['Drama', 'Romance', 'Slice of Life']",[],Shoujo,Issue,"Choi, Kyung-ah (Story & Art)",2,"[2, 0, 0]"
Akuma no Ororon (The Demon Ororon),7.28,1504,5005,6354,"3,254",143,Manga,4,21,Finished,Apr  1998 to Jan  2001,"['Fantasy', 'Romance', 'Supernatural']",[],Shoujo,Wings,"Hakase, Mizuki (Story & Art)",5,"[3, 1, 1]"
Atashi wa Bambi,7.28,2667,5006,4223,"5,152",30,Manga,3,16,Finished,"Mar  3, 2001 to Dec  28, 2001",['Romance'],[],Shoujo,Ribon Magazine,"Maki, Youko (Story & Art)",7,"[6, 1, 0]"
Eagle (Eagle: The Making of an Asian-American President),7.28,336,5007,12394,"1,395",11,Manga,11,89,Finished,1997 to  2001,"['Drama', 'Mystery']",[],Seinen,Big Comic,"Kawaguchi, Kaiji (Story & Art)",2,"[2, 0, 0]"
Slayers: Knight of the Aqualord,7.28,618,5008,12182,"1,425",10,Manga,6,31,Finished,Apr  2003 to Feb  2005,['Adventure'],[],,Dragon Age,"Ohtsuka, Tommy (Art), Kanzaka, Hajime (Story)",1,"[1, 0, 0]"
Dororo,7.28,7055,5009,1132,"17,419",275,Manga,4,19,Finished,"Aug  9, 1967 to Jul  3, 1968","['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Mythology', 'Samurai']",Shounen,Shounen Sunday,"Tezuka, Osamu (Story & Art)",9,"[7, 2, 0]"
MANA,7.28,541,5010,8943,"2,149",39,Manhwa,4,22,Finished,2006 to  2008,['Supernatural'],[],Shoujo,Wink,"Lee, Vin (Story & Art)",2,"[2, 0, 0]"
