Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Berserk,9.47,363720,1,1,"725,079","130,489",Manga,Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']",Seinen,Young Animal,"Miura, Kentarou (Story & Art), Studio Gaga (Art)",289,"[252, 17, 20]"
JoJo no Kimyou na Bouken Part 7: Steel Ball Run (JoJo's Bizarre Adventure Part 7: Steel Ball Run),9.31,172219,2,23,"280,428","46,269",Manga,24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","['Action', 'Adventure', 'Mystery', 'Supernatural']",['Historical'],Seinen,Ultra Jump,"Araki, Hirohiko (Story & Art)",131,"[123, 7, 1]"
Vagabond,9.26,154583,3,13,"406,082","44,258",Manga,37,327,On Hiatus,"Sep  3, 1998 to May  21, 2015","['Action', 'Adventure', 'Award Winning']","['Historical', 'Samurai']",Seinen,Morning,"Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)",104,"[93, 9, 2]"
One Piece,9.22,392811,4,4,"642,620","119,974",Manga,Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","['Action', 'Adventure', 'Fantasy']",[],Shounen,Shounen Jump (Weekly),"Oda, Eiichiro (Story & Art)",231,"[190, 21, 20]"
Monster,9.16,104327,5,29,"258,581","22,008",Manga,18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']",Seinen,Big Comic Original,"Urasawa, Naoki (Story & Art)",86,"[69, 11, 6]"
Slam Dunk,9.08,80820,6,54,"179,520","16,617",Manga,31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","['Award Winning', 'Sports']","['School', 'Team Sports']",Shounen,Shounen Jump (Weekly),"Inoue, Takehiko (Story & Art)",57,"[56, 1, 0]"
Vinland Saga,9.08,137915,7,17,"319,792","35,018",Manga,Unknown,Unknown,Publishing,"Apr  13, 2005 to ?","['Action', 'Adventure', 'Award Winning', 'Drama']",['Historical'],Seinen,Afternoon,"Yukimura, Makoto (Story & Art)",84,"[64, 10, 10]"
Fullmetal Alchemist,9.04,161487,8,20,"301,710","30,347",Manga,27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",['Military'],Shounen,Shounen Gangan,"Arakawa, Hiromu (Story & Art)",61,"[58, 1, 2]"
Tian Guan Cifu (Heaven Official's Blessing: Tian Guan Ci Fu),9.04,6008,9,1580,"13,223","1,299",Novel,6,Unknown,Finished,"Feb  4, 2021 to Mar  31, 2022","['Action', 'Adventure', 'Boys Love', 'Supernatural']",['Historical'],,,Mo Xiang Tong Xiu (Story),5,"[3, 1, 1]"
Grand Blue (Grand Blue Dreaming),9.03,69463,10,48,"182,552","17,904",Manga,Unknown,Unknown,Publishing,"Apr  7, 2014 to ?",['Comedy'],[],Seinen,good! Afternoon,"Inoue, Kenji (Story), Yoshioka, Kimitake (Art)",48,"[44, 2, 2]"
