Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Mutou Black,6.19,230,18604,18508,766,1,Manga,2,12,Finished,"May  20, 2013 to Aug  5, 2013",[],"['Historical', 'Martial Arts']",Shounen,Shounen Jump (Weekly),"Nonoue, Daijirou (Story & Art)",0,"[0, 0, 0]"
"Ikemen ni Tensei shita kedo, Cheat wa Dekimasen deshita.",6.19,110,18622,25567,431,0,Manga,3,16,Finished,"Sep  11, 2020 to Dec  10, 2021",['Fantasy'],"['Isekai', 'Reincarnation']",,Web Comic Gamma Plus,"Shimoda, Masaya (Art), Mikan Jelly (Story)",0,"[0, 0, 0]"
"Kiwameta Renkinjutsu ni, Fukanou wa Nai. Bannou Skill de Isekai Musou (Anything's Possible with Ultimate Alchemy)",6.19,368,18623,11427,"1,561",1,Manga,3,20,Finished,"Jun  1, 2022 to Jan  31, 2024","['Adventure', 'Fantasy']",[],,Manga UP!,"Shinkou, Shotou (Story), Ayase, Retsu (Art)",1,"[0, 0, 1]"
All Hail Lady Blanche!,6.19,310,18624,12954,"1,313",2,Manhwa,Unknown,100,Finished,"Mar  10, 2022 to Sep  20, 2023","['Fantasy', 'Romance']","['Isekai', 'Reincarnation']",,KakaoPage,"Eun, Na-mok (Story), SJK (Art)",3,"[0, 2, 1]"
Anemone,6.19,105,18625,33539,235,0,One-shot,Unknown,1,Finished,"Dec  26, 2019",['Supernatural'],[],Shounen,Jump GIGA,"Matsui, Rin (Story & Art)",0,"[0, 0, 0]"
Kimi to Aoi Yoru no,6.19,119,18626,28088,354,0,One-shot,Unknown,1,Finished,"Mar  20, 2023",['Mystery'],"['Detective', 'School']",Shounen,Shounen Jump (Weekly),"Usazaki, Shiro (Art), Kida, Saori (Story)",0,"[0, 0, 0]"
Tensei shitara Sainou ga Atta Ken: Isekai Ittemo Doryoku suru,6.19,102,18627,19592,699,0,Manga,Unknown,Unknown,Publishing,"Jun  26, 2023 to ?","['Action', 'Fantasy']","['Isekai', 'Reincarnation']",,Manga Gaugau,"Pakupaku (Art), Ken (Story)",1,"[0, 0, 1]"
Digimon D-Cyber,6.19,672,18605,11208,"1,603",11,Manhua,2,14,Finished,2005,"['Action', 'Adventure', 'Fantasy']",[],,,"Yu, Yuen Wong (Story & Art)",1,"[0, 1, 0]"
Legend of Lemnear,6.19,720,18606,10891,"1,662",14,Manga,3,18,Finished,"Sep  7, 1991 to Feb  6, 1992","['Adventure', 'Fantasy', 'Ecchi']",[],Shounen,Comic NORA,"Yoshimoto, Kinji (Story), Urushihara, Satoshi (Art)",1,"[1, 0, 0]"
Bishounen no Koi,6.19,262,18607,22473,548,2,Manga,1,3,Finished,Not available,['Boys Love'],[],,,"Sakura, Haiji (Story & Art)",0,"[0, 0, 0]"
Dahlia the Vampire (Death is a Kiss),6.19,130,18608,21484,597,4,Manga,2,6,Finished,1995 to  2004,"['Horror', 'Supernatural']",['Vampire'],Shoujo,Suspiria,"Kakinouchi, Narumi (Story & Art)",0,"[0, 0, 0]"
Tsukumo Happy Soul,6.19,694,18609,12447,"1,385",2,Manga,1,4,Finished,"May  26, 2004 to Aug  26, 2004","['Action', 'Comedy', 'Supernatural', 'Ecchi']",[],Shounen,Shounen Ace,"Ooiwa, Kenji (Story & Art)",1,"[0, 0, 1]"
Offered,6.19,368,18610,13643,"1,220",2,Manga,4,43,Finished,"Sep  25, 1989 to Aug  6, 1990","['Action', 'Adventure', 'Drama']",[],Seinen,Big Comic Spirits,"Ikegami, Ryouichi (Art), Koike, Kazuo (Story)",2,"[2, 0, 0]"
The Dress,6.19,904,18611,11363,"1,573",2,Manhwa,Unknown,1,Finished,Not available,['Horror'],[],Shoujo,Wink,"Ju, Hee Cho (Story)",1,"[0, 1, 0]"
Senpai Amasugiru H,6.19,563,18612,13350,"1,261",0,Manga,1,6,Finished,2002,"['Drama', 'Romance']",[],Shoujo,Sho-Comi,"Shinjou, Mayu (Story & Art), Kurumatani, Haruko (Story & Art), Ayukawa, Mio (Story & Art), Kousaka, Yuuka (Story & Art), Uchuuda, Kai (Story & Art), Murata, Yuka (Story & Art)",0,"[0, 0, 0]"
