Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Danshi-ing Girl!,6.92,691,10001,12403,"1,392",1,Manga,1,4,Finished,2009,"['Comedy', 'Romance']",['School'],Shoujo,The Hana to Yume,"Okada, Haruki (Story & Art)",1,"[1, 0, 0]"
Sora ni Haeru,6.92,227,10002,25476,434,1,One-shot,Unknown,1,Finished,"Oct  10, 2009",['Romance'],['School'],Shoujo,LaLa DX,"Nogiri, Youko (Story & Art)",0,"[0, 0, 0]"
"Kono Naka ni Hitori, Imouto ga Iru!",6.92,219,10003,10652,"1,714",7,Light Novel,11,87,Finished,"Aug  25, 2010 to Mar  25, 2013","['Comedy', 'Romance']","['Harem', 'School']",Seinen,,"CUTEG (Art), Taguchi, Hajime (Story)",0,"[0, 0, 0]"
Beast 9,6.92,604,10004,8782,"2,199",7,Manhwa,5,34,Finished,2010 to  2012,"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Supernatural', 'Ecchi']",['Mecha'],,Booking,"Yoon, Jae Ho (Story), Park, Jin-Hwan (Art)",2,"[2, 0, 0]"
Umineko no Naku Party ni: Tea Party of the Witches,6.92,118,10005,19551,701,1,Manga,2,Unknown,Finished,"Oct  2, 2009 to Feb  22, 2013",['Comedy'],[],,Manga Palette Lite,"Ryukishi07 (Story), Taira, Kosaka (Story & Art)",0,"[0, 0, 0]"
Ryuu wa Tasogare no Yume wo Miru,6.92,219,10006,20157,666,1,Manga,2,11,Finished,"Jun  15, 2011 to May  15, 2012",['Action'],[],Shoujo,Comic Gene,"Himekawa, Akira (Story & Art)",0,"[0, 0, 0]"
Sakura no Himegoto (The Secret Sakura Shares),6.92,267,10007,17704,825,2,Manga,2,9,Finished,"Mar  24, 2011 to Apr  10, 2013",['Romance'],['School'],Shoujo,LaLa DX,"Hagio, Akira (Story & Art)",0,"[0, 0, 0]"
IS: Infinite Stratos - Koushiki Anthology Comic (Infinite Stratos: Official Anthology Comic),6.92,282,10008,16035,962,5,Manga,1,11,Finished,"Sep  22, 2011","['Comedy', 'Romance', 'Ecchi']",['Harem'],,,"Kuromasa, Shisei (Story & Art), Yamaki, Rin (Story & Art), BLADE (Story & Art), Asakawa, Keiji (Story & Art), Shinozuka, Atsuto (Story & Art), Akaboshi, Kenji (Story & Art), Ishigami, Kazui (Story & Art), Kazahana, Chiruwo (Story & Art), Kon, Takuto (Story & Art)",0,"[0, 0, 0]"
Oishii Kimi List,6.92,417,10009,18615,759,0,One-shot,Unknown,1,Finished,"Dec  25, 2009","['Comedy', 'Romance']",['School'],Shoujo,The Hana to Yume,"Mizuki, Chika (Story & Art)",0,"[0, 0, 0]"
Boku no Ushiro ni Majo ga Iru,6.92,653,10010,8024,"2,458",15,Manga,Unknown,Unknown,Publishing,"Aug  26, 2008 to ?","['Comedy', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",['School'],Shounen,Shounen Sirius,"Yamada, Hitsuji (Story & Art)",1,"[1, 0, 0]"
