Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Judge,7.03,16678,8370,434,41412,550,Manga,6,32,Finished,"[""'Drama'"", ""'Horror'"", ""'Mystery'"", ""'Psychological'""]",Shounen,Shounen Gangan,"[""'Tonogai,Yoshiki'""]",2010-01-12,2012-08-11,11,9,2,0
Returners: Aka no Kikansha,7.03,244,8371,15070,1058,5,Manga,3,19,Finished,"[""'Supernatural'"", ""'Ecchi'""]",Seinen,Miracle Jump,"[""'Gokurakuin,Sakurako'""]",2009-07-21,2013-06-23,0,0,0,0
Boku to Watashi no Henai Jijou,7.03,1078,8372,9043,2117,2,Manga,2,17,Finished,"[""'Comedy'"", ""'Romance'""]",,Web Comic High!,"[""'Amano,Shiro'""]",2008-08-28,2011-04-30,1,1,0,0
Love Cruise,7.03,1315,8373,8403,2331,6,Manga,1,4,Finished,"[""'Comedy'"", ""'Drama'"", ""'Romance'"", ""'Supernatural'""]",Josei,Petit Comic,"[""'Ohmi,Tomu'""]",2009-10-09,2009-10-09,1,0,0,1
Appleseed Databook,7.03,187,8374,21289,607,3,Manga,1,1,Finished,"[""'Action'"", ""'Sci-Fi'"", ""'Mecha'""]",,,"[""'Shirow,Masamune'""]",1990-01-01,1990-01-01,1,1,0,0
For the Sake of Both,7.03,298,8375,19610,698,2,Manhwa,6,24,Finished,"[""'Comedy'"", ""'Drama'"", ""'Romance'""]",Shoujo,,"[""'Hwang,Mi Ri'""]",2009-10-28,Updating,0,0,0,0
Nikukyuu Punipuni Nikki,7.03,211,8376,25799,424,16,Manga,4,100,Finished,"[""'Slice of Life'"", ""'Memoir'"", ""'Pets'""]",Josei,Elegance Eve,"[""'Nonaka,Nobara'""]",2003-01-01,2009-01-01,0,0,0,0
Ame ni Niteiru,7.03,109,8377,31219,278,1,Manga,1,2,Finished,"[""'Boys Love'""]",,,"[""'Watanabe,Taeko'""]",1992-12-01,1992-12-01,0,0,0,0
Last Ranker: Be the Last One,7.03,1162,8378,5988,3479,7,Manga,3,14,Finished,"[""'Action'""]",Shounen,Shounen Rival,"[""'Ueda,Satoshi'""]",2010-09-04,2011-10-04,0,0,0,0
Sprite,7.03,1434,8380,3539,6164,28,Manga,15,135,Finished,"[""'Horror'"", ""'Mystery'"", ""'Supernatural'"", ""'Gore'""]",Seinen,Big Comic Superior,"[""'Ishikawa,Yuugo'""]",2009-04-24,2015-04-10,1,1,0,0
Lover Boy,7.03,348,8381,17176,865,2,Manhwa,13,16,Finished,"[""'Romance'""]",Shoujo,,"[""'Han,Yu-Rang'""]",2010-06-09,2010-07-30,0,0,0,0
Kaira,7.03,1152,8382,6058,3440,23,Manga,1,4,Finished,"[""'Drama'"", ""'Fantasy'"", ""'Horror'"", ""'Psychological'""]",Seinen,,"[""'ABe,Yoshitoshi'""]",1997-01-01,Updating,1,1,0,0
Risou no Tsuma no Takurami wa (Something About Emmaline),7.03,149,8383,28892,334,2,Manga,2,6,Finished,"[""'Mystery'"", ""'Romance'"", ""'Historical'""]",Josei,Harlequin,"[""'Boyle,Elizabeth'"", ""'Nakamura,Chisato'""]",2010-01-01,Updating,0,0,0,0
Junai Tokkou Taichou! Maji,7.03,185,8384,14395,1131,5,Manga,4,16,Finished,"[""'Comedy'"", ""'Romance'"", ""'School'""]",Shoujo,Bessatsu Friend,"[""'Seino,Shizuru'""]",2009-08-12,2010-12-13,0,0,0,0
"Kare wa, Ano Ko no Mono",7.03,466,8385,14059,1171,1,Manga,1,5,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Sho-Comi,"[""'Kayoru'""]",2008-07-19,2010-03-15,1,1,0,0
Mahou Shoujo Lyrical Nanoha: Comic à la carte,7.03,124,8386,25403,436,1,Manga,2,16,Finished,"[""'Comedy'"", ""'Fantasy'"", ""'Sci-Fi'"", ""'Slice of Life'"", ""'Ecchi'"", ""'School'""]",,,[],2010-01-01,Updating,0,0,0,0
Lost In London,7.03,554,8387,11346,1575,6,Manhwa,3,37,Finished,"[""'Romance'"", ""'Supernatural'"", ""'Historical'""]",Shoujo,Issue,"[""'Lee,Eun-Young'""]",2011-01-01,Updating,3,3,0,0
"Sayonara Football (Sayonara, Football)",7.03,1613,8389,5419,3910,7,Manga,2,8,Finished,"[""'Romance'"", ""'Sports'"", ""'School'"", ""'Team Sports'""]",Shounen,Magazine E-no,"[""'Arakawa,Naoshi'""]",2009-06-20,2010-08-20,4,4,0,0
"Kono Naka ni Hitori, Imouto ga Iru!",7.03,537,8390,7671,2595,6,Manga,5,27,Finished,"[""'Romance'"", ""'Slice of Life'"", ""'Harem'"", ""'School'""]",,Comic Alive,"[""'Taguchi,Hajime'"", ""'Mottsun*'""]",2011-05-27,2013-09-27,0,0,0,0
Manken.,7.03,209,8391,18378,776,5,Manga,7,42,Finished,"[""'Comedy'"", ""'School'""]",Seinen,Sunday Gene-X,"[""'Katou,Daiki'""]",2011-04-19,2014-09-19,0,0,0,0
Kanpeki☆Kareshi Kanojo,7.03,575,8392,9615,1950,0,Manga,3,12,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Bessatsu Friend,"[""'Miyoshi,Maki'""]",2009-05-13,2011-12-13,1,0,1,0
Gunjou,7.03,404,8393,14903,1075,4,Manga,5,30,Finished,"[""'Slice of Life'"", ""'Sports'""]",Seinen,Big Gangan,"[""'Kirihara,Idumi'"", ""'Sakamoto,Kou'""]",2011-10-25,2014-07-25,0,0,0,0
Clover no Kuni no Alice: Kishi no Kokoroe (Alice in the Country of Clover: Knight's Knowledge),7.03,284,8394,14458,1123,1,Manga,3,12,Finished,"[""'Fantasy'"", ""'Romance'""]",Shoujo,,"[""'QuinRose,Asai'"", ""'Sai'""]",2012-02-25,2013-01-05,0,0,0,0
Corpse Party: Book of Shadows,7.03,1644,8395,3841,5655,82,Manga,3,26,Finished,"[""'Horror'"", ""'Mystery'"", ""'Supernatural'"", ""'Psychological'""]",Seinen,Comic Alive,"[""'Orie,Mika'"", ""'Kedouin,Makoto'""]",2011-10-27,2014-01-27,0,0,0,0
Hana ni Omoeba,7.03,497,8396,16009,964,1,One-shot,3,1,Finished,"[""'Boys Love'""]",,Canna,"[""'Hirama,Mitsunaga'""]",2011-05-23,2011-05-23,0,0,0,0
Date Masamune,7.03,154,8397,22406,552,1,Manga,8,63,Finished,"[""'Action'"", ""'Drama'"", ""'Historical'""]",Shounen,,"[""'Yokoyama,Mitsuteru'"", ""'Fujino,Shouzou'""]",1986-01-01,1987-01-01,0,0,0,0
Blood-C: The Last Dark,7.03,152,8398,17285,857,7,Light Novel,1,16,Finished,"[""'Action'"", ""'Drama'"", ""'Horror'"", ""'Mystery'"", ""'Supernatural'"", ""'Vampire'""]",,,"[""'CLAMP'""]",2012-06-02,2012-06-02,0,0,0,0
Sakura Sakura,7.03,838,8399,5578,3772,7,Manga,8,40,Finished,"[""'Comedy'"", ""'Romance'"", ""'Ecchi'"", ""'Harem'"", ""'School'""]",Shounen,Bessatsu Shounen Champion,"[""'Morishige'""]",2012-06-12,2015-09-12,1,1,0,0
Double Baby,7.03,2038,8400,5040,4206,5,Manga,1,5,Finished,"[""'Comedy'"", ""'Romance'"", ""'Childcare'"", ""'School'""]",Shoujo,Betsucomi,"[""'Fujio,Nami'""]",2010-04-24,2011-08-13,2,2,0,0
Rising x Rydeen,7.03,155,8401,18972,739,23,Light Novel,9,57,Finished,"[""'Action'"", ""'Comedy'"", ""'Romance'"", ""'Sci-Fi'"", ""'Supernatural'"", ""'Ecchi'"", ""'Harem'"", ""'School'""]",,,"[""'Hatsumi,Youichi'"", ""'Pulp,Piroshi'""]",2012-01-20,2014-09-20,0,0,0,0
Life x 01,7.03,198,8402,16827,893,2,Manga,2,13,Finished,"[""'Action'"", ""'Romance'"", ""'Supernatural'""]",Shoujo,Otome High!,"[""'Kabosu'""]",2012-04-27,2013-06-07,0,0,0,0
Honey Sweet♥Kitchen,7.03,411,8403,12230,1418,1,Manga,4,24,Finished,"[""'Slice of Life'""]",Josei,Comic Spica,"[""'Yamamoto,Kotetsuko'"", ""'Nanao,Suzu'""]",2011-08-26,2013-10-28,0,0,0,0
Cross Manage,7.03,1679,8404,4673,4583,22,Manga,5,43,Finished,"[""'Comedy'"", ""'Romance'"", ""'Slice of Life'"", ""'Sports'"", ""'Team Sports'""]",Shounen,Shounen Jump (Weekly),"[""'KAITO'""]",2012-09-15,2013-10-15,2,2,0,0
Koi no Kaori (Perfume of love),7.03,788,8405,10634,1718,1,Manga,1,7,Finished,"[""'Girls Love'"", ""'Romance'"", ""'School'""]",,Comic Yuri Hime,"[""'Takemiya,Jin'""]",2012-06-18,2012-06-18,0,0,0,0
Toubou Waltz,7.03,249,8406,25364,437,1,One-shot,3,1,Finished,"[""'Romance'""]",Shoujo,LaLa DX,"[""'Hachiya,Momo'""]",2009-04-10,2009-04-10,0,0,0,0
Trigun: Multiple Bullets,7.03,1533,8407,4251,5128,21,Manga,1,8,Finished,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Drama'"", ""'Sci-Fi'"", ""'Adult Cast'""]",Seinen,Young King OURs,"[""'Nightow,Yasuhiro'"", ""'Boichi,Ark Performance'"", ""'Mizukami,Satoshi'"", ""'Takeyama,Yuusuke'"", ""'Takauchi,Yuuga'"", ""'Sagami,Akira'""]",2011-12-28,2011-12-28,0,0,0,0
Shuuden na Ka-n-ke-i,7.03,404,8408,16597,914,5,Manga,1,6,Finished,"[""'Romance'""]",Josei,Oyajism,"[""'Oota,Yoshio'""]",2011-12-01,2012-11-01,0,0,0,0
Log Horizon Gaiden: Honey Moon Logs,7.03,204,8409,13082,1296,3,Manga,4,27,Finished,"[""'Action'"", ""'Fantasy'"", ""'Sci-Fi'""]",,Dengeki Daioh,"[""'Matsu,Motoya'""]",2012-01-27,2014-06-27,0,0,0,0
Shirayukihime to 7-nin no Shuujin (Snow White & Seven Dwarfs),7.03,586,8410,8518,2287,3,Manga,5,42,Finished,"[""'Action'"", ""'Romance'"", ""'Supernatural'""]",Seinen,Young Jump,"[""'Yabuguchi,Kuroko'""]",2012-11-01,2013-11-28,0,0,0,0
Kagerou Inazuma Mizu no Tsuki,7.03,364,8411,18701,754,0,Manga,1,4,Finished,"[""'Drama'"", ""'Romance'"", ""'Historical'""]",Shoujo,Bessatsu Friend Zoukan BetsuFure,"[""'Ame,Arare'""]",2006-08-11,2006-08-11,1,1,0,0
Marmalade Boy Little,7.03,633,8413,8375,2340,11,Manga,7,48,Finished,"[""'Romance'""]",Josei,Cocohana,"[""'Yoshizumi,Wataru'""]",2013-03-28,2018-09-28,0,0,0,0
Kaichou-sama ga Fiancé de♡,7.03,974,8414,6972,2927,17,Manga,5,32,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Sho-Comi,"[""'Kayoru'""]",2014-10-04,2016-04-20,0,0,0,0
Mori no Takuma-san,7.03,634,8415,12019,1451,7,Manga,4,25,Finished,"[""'Comedy'"", ""'Romance'""]",Shoujo,Margaret,"[""'Komura,Ayumi'""]",2015-10-20,2016-11-05,0,0,0,0
Midara na Ao-chan wa Benkyou ga Dekinai (Ao-chan Can't Study!),7.03,3705,8416,1767,11920,67,Manga,8,39,Finished,"[""'Comedy'"", ""'Romance'"", ""'Ecchi'""]",Shounen,Shounen Magazine Edge,"[""'Kawahara,Ren'""]",2015-10-17,2018-12-17,5,2,3,0
Witch Hunt,7.03,1044,8417,8207,2398,12,Manhwa,3,88,Finished,"[""'Fantasy'"", ""'Supernatural'"", ""'School'""]",,Naver Webtoon,"[""'Park,So'""]",2014-05-10,2016-01-09,4,3,1,0
