Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Berserk,9.47,363720,1,1,725079,130489,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Fantasy'"", ""'Horror'"", ""'Supernatural'"", ""'Gore'"", ""'Military'"", ""'Mythology'"", ""'Psychological'""]",Seinen,Young Animal,"[""'Miura,Kentarou'"", ""'Studio Gaga'""]",1989-08-25,Updating,289,252,17,20
JoJo no Kimyou na Bouken Part 7: Steel Ball Run (JoJo's Bizarre Adventure Part 7: Steel Ball Run),9.31,172219,2,23,280428,46269,Manga,24,96,Finished,"[""'Action'"", ""'Adventure'"", ""'Mystery'"", ""'Supernatural'"", ""'Historical'""]",Seinen,Ultra Jump,"[""'Araki,Hirohiko'""]",2004-01-19,2011-04-19,131,123,7,1
Vagabond,9.26,154583,3,13,406082,44258,Manga,37,327,On Hiatus,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Historical'"", ""'Samurai'""]",Seinen,Morning,"[""'Inoue,Takehiko'"", ""'Yoshikawa,Eiji'""]",1998-09-03,2015-05-21,104,93,9,2
One Piece,9.22,392811,4,4,642620,119974,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'""]",Shounen,Shounen Jump (Weekly),"[""'Oda,Eiichiro'""]",1997-07-22,Updating,231,190,21,20
Monster,9.16,104327,5,29,258581,22008,Manga,18,162,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Mystery'"", ""'Adult Cast'"", ""'Psychological'""]",Seinen,Big Comic Original,"[""'Urasawa,Naoki'""]",1994-12-05,2001-12-20,86,69,11,6
Slam Dunk,9.08,80820,6,54,179520,16617,Manga,31,276,Finished,"[""'Award Winning'"", ""'Sports'"", ""'School'"", ""'Team Sports'""]",Shounen,Shounen Jump (Weekly),"[""'Inoue,Takehiko'""]",1990-09-18,1996-06-04,57,56,1,0
Vinland Saga,9.08,137915,7,17,319792,35018,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Historical'""]",Seinen,Afternoon,"[""'Yukimura,Makoto'""]",2005-04-13,Updating,84,64,10,10
Fullmetal Alchemist,9.04,161487,8,20,301710,30347,Manga,27,116,Finished,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Fantasy'"", ""'Military'""]",Shounen,Shounen Gangan,"[""'Arakawa,Hiromu'""]",2001-07-12,2010-09-11,61,58,1,2
Tian Guan Cifu (Heaven Official's Blessing: Tian Guan Ci Fu),9.04,6008,9,1580,13223,1299,Novel,6,16,Finished,"[""'Action'"", ""'Adventure'"", ""'Boys Love'"", ""'Supernatural'"", ""'Historical'""]",,,"[""'Mo Xiang Tong Xiu'""]",2021-02-04,2022-03-31,5,3,1,1
Grand Blue (Grand Blue Dreaming),9.03,69463,10,48,182552,17904,Manga,3,16,Publishing,"[""'Comedy'""]",Seinen,good! Afternoon,"[""'Inoue,Kenji'"", ""'Yoshioka,Kimitake'""]",2014-04-07,Updating,48,44,2,2
Omniscient Reader's Viewpoint,9.02,7690,11,1130,17480,1653,Novel,20,105,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Urban Fantasy'""]",,,"[""'sing N song'""]",2022-01-20,2023-09-11,20,19,1,0
Kingdom,9.01,64772,12,53,179533,15745,Manga,3,16,Publishing,"[""'Action'"", ""'Award Winning'"", ""'Historical'"", ""'Military'""]",Seinen,Young Jump,"[""'Hara,Yasuhisa'""]",2006-01-26,Updating,53,49,3,1
Oyasumi Punpun (Goodnight Punpun),9.0,194903,13,8,467883,54518,Manga,13,147,Finished,"[""'Drama'"", ""'Slice of Life'"", ""'Psychological'""]",Seinen,Big Comic Spirits,"[""'Asano,Inio'""]",2007-03-15,2013-11-02,287,214,39,34
Guimi Zhi Zhu (Lord of Mysteries),8.98,2211,14,3792,5727,483,Novel,18,366,Finished,"[""'Action'"", ""'Mystery'"", ""'Supernatural'"", ""'Suspense'""]",,,"[""'Ai Qianshui de Wuzei'""]",2020-05-01,2023-08-01,15,14,0,1
Houseki no Kuni (Land of the Lustrous),8.97,47967,15,82,143453,15884,Manga,13,108,Finished,"[""'Action'"", ""'Drama'"", ""'Fantasy'"", ""'Anthropomorphic'""]",Seinen,Afternoon,"[""'Ichikawa,Haruko'""]",2012-10-25,2024-04-25,56,46,9,1
Real,8.95,21855,16,160,94450,4049,Manga,3,16,Publishing,"[""'Award Winning'"", ""'Drama'"", ""'Sports'"", ""'Psychological'"", ""'Team Sports'""]",Seinen,Young Jump,"[""'Inoue,Takehiko'""]",1999-10-28,Updating,27,27,0,0
20th Century Boys,8.94,97058,17,25,276082,21078,Manga,22,249,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Mystery'"", ""'Sci-Fi'"", ""'Historical'"", ""'Psychological'""]",Seinen,Big Comic Spirits,"[""'Urasawa,Naoki'""]",1999-09-27,2006-04-24,86,74,8,4
Ashita no Joe (Ashita no Joe: Fighting for Tomorrow),8.94,18080,18,306,55556,4444,Manga,20,171,Finished,"[""'Drama'"", ""'Slice of Life'"", ""'Sports'"", ""'Combat Sports'""]",Shounen,Shounen Magazine (Weekly),"[""'Kajiwara,Ikki'"", ""'Chiba,Tetsuya'""]",1968-01-01,1973-05-13,23,20,1,2
Monogatari Series: First Season,8.91,16978,19,277,60775,3125,Light Novel,6,107,Finished,"[""'Action'"", ""'Comedy'"", ""'Mystery'"", ""'Romance'"", ""'Supernatural'"", ""'Vampire'""]",,Mephisto,"[""'NISIO,ISIN'"", ""'VOFAN'""]",2006-11-01,2010-07-28,14,13,1,0
Mo Dao Zu Shi (Grandmaster of Demonic Cultivation: Mo Dao Zu Shi),8.91,4195,20,2551,8424,713,Novel,4,27,Finished,"[""'Action'"", ""'Adventure'"", ""'Boys Love'"", ""'Mystery'"", ""'Supernatural'"", ""'Historical'""]",,,"[""'Mo Xiang Tong Xiu'""]",2016-12-08,2016-12-08,3,1,1,1
Monogatari Series: Second Season,8.9,7578,21,793,23897,767,Light Novel,6,199,Finished,"[""'Comedy'"", ""'Drama'"", ""'Mystery'"", ""'Supernatural'"", ""'Vampire'""]",,,"[""'NISIO,ISIN'"", ""'VOFAN'""]",2010-10-27,2011-12-20,3,3,0,0
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen (Kaguya-sama: Love Is War),8.9,137098,22,24,279414,29156,Manga,28,281,Finished,"[""'Award Winning'"", ""'Comedy'"", ""'Love Status Quo'"", ""'School'""]",Seinen,Young Jump,"[""'Akasaka,Aka'""]",2015-05-19,2022-11-02,116,99,8,9
Yotsuba to! (Yotsuba&!),8.9,56859,23,71,161366,16781,Manga,3,16,Publishing,"[""'Award Winning'"", ""'Comedy'"", ""'Slice of Life'"", ""'Childcare'"", ""'Iyashikei'""]",,Dengeki Daioh,"[""'Azuma,Kiyohiko'""]",2003-03-21,Updating,47,47,0,0
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch (Umineko When They Cry Episode 8: Twilight of the Golden Witch),8.89,6973,24,1075,18340,1690,Manga,9,42,Finished,"[""'Drama'"", ""'Fantasy'"", ""'Mystery'"", ""'Supernatural'""]",Shounen,Gangan Joker,"[""'Natsumi,Kei'"", ""'Ryukishi07'""]",2012-01-21,2015-06-22,14,12,2,0
Mikkakan no Koufuku (Three Days of Happiness),8.88,10865,25,557,33100,1400,Novel,1,15,Finished,"[""'Drama'""]",,,"[""'Miaki,Sugaru'""]",2013-12-25,2013-12-25,19,16,1,2
GTO (GTO: Great Teacher Onizuka),8.87,68171,26,56,175121,11444,Manga,25,208,Finished,"[""'Action'"", ""'Award Winning'"", ""'Comedy'"", ""'Drama'"", ""'Ecchi'"", ""'Delinquents'"", ""'School'"", ""'Workplace'""]",Shounen,Shounen Magazine (Weekly),"[""'Fujisawa,Tooru'""]",1996-12-11,2002-01-30,47,39,1,7
3-gatsu no Lion (March Comes in Like a Lion),8.86,19710,27,229,70550,4177,Manga,3,16,Publishing,"[""'Award Winning'"", ""'Drama'"", ""'Slice of Life'"", ""'Childcare'"", ""'Iyashikei'"", ""'Strategy Game'""]",Seinen,Young Animal,"[""'Umino,Chica'""]",2007-07-13,Updating,15,15,0,0
Tian Guan Cifu (Heaven Official's Blessing),8.86,4632,28,1520,13642,831,Manhua,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Boys Love'"", ""'Drama'"", ""'Supernatural'"", ""'Historical'""]",,,"[""'Mo Xiang Tong Xiu,STARember'""]",2019-10-19,Updating,3,2,1,0
Koe no Katachi (A Silent Voice),8.86,149811,29,26,275429,22554,Manga,7,64,Finished,"[""'Award Winning'"", ""'Drama'""]",Shounen,Shounen Magazine (Weekly),"[""'Ooima,Yoshitoki'""]",2013-08-07,2014-11-19,108,97,10,1
Haikyuu!! (Haikyu!!),8.85,109453,30,34,225229,18957,Manga,45,407,Finished,"[""'Award Winning'"", ""'Sports'"", ""'School'"", ""'Team Sports'""]",Shounen,Shounen Jump (Weekly),"[""'Furudate,Haruichi'""]",2012-02-20,2020-07-20,46,44,2,0
Monogatari Series: Final Season,8.83,5449,31,994,19488,497,Light Novel,6,231,Finished,"[""'Comedy'"", ""'Mystery'"", ""'Supernatural'"", ""'Vampire'""]",,,"[""'NISIO,ISIN'"", ""'VOFAN'""]",2012-09-28,2014-09-18,0,0,0,0
Akatsuki no Yona (Yona of the Dawn),8.82,49473,32,88,139444,14451,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Romance'""]",Shoujo,Hana to Yume,"[""'Kusanagi,Mizuho'""]",2009-08-05,Updating,64,51,11,2
Mushoku Tensei: Isekai Ittara Honki Dasu (Mushoku Tensei: Jobless Reincarnation),8.82,39159,33,170,90406,8387,Light Novel,26,330,Finished,"[""'Fantasy'"", ""'Isekai'"", ""'Reincarnation'""]",,,"[""'Rifujin na Magonote,Sirotaka'""]",2014-01-23,2022-11-25,63,47,8,8
Ookami to Koushinryou (Spice & Wolf),8.82,16492,34,251,65894,4194,Light Novel,3,16,Publishing,"[""'Adventure'"", ""'Drama'"", ""'Fantasy'"", ""'Romance'"", ""'Supernatural'"", ""'Adult Cast'"", ""'Historical'""]",,,"[""'Hasekura,Isuna'"", ""'Ayakura,Juu'""]",2006-02-10,Updating,11,11,0,0
Sousou no Frieren (Frieren: Beyond Journey's End),8.82,42979,35,93,134754,8203,Manga,3,16,Publishing,"[""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Fantasy'""]",Shounen,Shounen Sunday,"[""'Yamada,Kanehito'"", ""'Abe,Tsukasa'""]",2020-04-28,Updating,51,44,4,3
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (Classroom of the Elite),8.82,34407,36,175,89059,8336,Light Novel,14,110,Finished,"[""'Drama'"", ""'Psychological'"", ""'School'""]",,,"[""'Tomose,Shunsaku'"", ""'Kinugasa,Shougo'""]",2015-05-25,2019-09-25,39,35,2,2
86 (86: Eighty-Six),8.82,11157,37,414,42885,3139,Light Novel,3,16,Publishing,"[""'Action'"", ""'Drama'"", ""'Sci-Fi'"", ""'Military'""]",,,"[""'Shirabi,Asato'"", ""'Asato'""]",2017-02-10,Updating,15,12,3,0
Kaze no Tani no Nausicaä (Nausicaä of the Valley of the Wind),8.81,17670,38,276,60822,3513,Manga,7,59,Finished,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Fantasy'"", ""'Supernatural'""]",,Animage,"[""'Miyazaki,Hayao'""]",1982-10-09,1994-02-10,15,15,0,0
Nana,8.8,46629,39,78,150639,12183,Manga,21,84,On Hiatus,"[""'Award Winning'"", ""'Drama'"", ""'Romance'"", ""'Adult Cast'"", ""'Love Polygon'"", ""'Music'""]",Shoujo,Cookie,"[""'Yazawa,Ai'""]",2000-05-26,2009-05-26,25,22,3,0
Kokou no Hito (The Climber),8.8,38049,40,112,118941,7088,Manga,17,170,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Sports'"", ""'Psychological'""]",Seinen,Young Jump,"[""'Sakamoto,Shinichi'""]",2007-11-01,2011-10-27,58,53,2,3
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen (Classroom of the Elite: Year 2),8.8,15298,41,476,38296,2325,Light Novel,3,16,Publishing,"[""'Drama'"", ""'Psychological'"", ""'School'""]",,,"[""'Tomose,Shunsaku'"", ""'Kinugasa,Shougo'""]",2020-01-24,Updating,9,3,2,4
Re:Zero kara Hajimeru Isekai Seikatsu (Re:ZERO -Starting Life in Another World-),8.79,22222,42,223,72469,5652,Light Novel,3,16,Publishing,"[""'Drama'"", ""'Fantasy'"", ""'Suspense'"", ""'Isekai'"", ""'Psychological'"", ""'Time Travel'""]",,,"[""'Nagatsuki,Tappei'"", ""'Ootsuka,Shinichirou'""]",2014-01-23,Updating,14,12,1,1
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen (Ascendance of a Bookworm: I'll do Anything to Become a Librarian!),8.77,5165,43,1204,16458,1153,Light Novel,33,16,Finished,"[""'Fantasy'"", ""'Isekai'"", ""'Reincarnation'""]",,,"[""'Shiina,You'"", ""'Kazuki,Miya'""]",2015-01-25,2023-12-09,15,12,2,1
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. (I sold my life for ten thousand yen per year.)",8.77,92957,44,58,171938,14159,Manga,3,18,Finished,"[""'Drama'""]",Shounen,Shounen Jump+,"[""'Taguchi,Shouichi'"", ""'Miaki,Sugaru'""]",2016-08-10,2017-10-25,100,88,4,8
Kaoru Hana wa Rin to Saku (The Fragrant Flower Blooms with Dignity),8.76,25802,45,199,79891,4785,Manga,3,16,Publishing,"[""'Drama'"", ""'Romance'"", ""'School'""]",,Magazine pocket,"[""'Mikami,Saka'""]",2021-10-21,Updating,52,39,6,7
The Greatest Estate Developer,8.75,14014,46,566,32655,1487,Manhwa,3,16,Publishing,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Isekai'"", ""'Reincarnation'""]",,Naver Webtoon,"[""'Moon,Back-kyung'"", ""'Kim,Hyunsoo'""]",2021-07-30,Updating,19,16,0,3
Hunter x Hunter,8.75,130841,47,22,284223,24555,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'""]",Shounen,Shounen Jump (Weekly),"[""'Togashi,Yoshihiro'""]",1998-03-03,Updating,48,39,6,3
Uchuu Kyoudai (Space Brothers),8.75,8560,48,491,36785,1459,Manga,3,16,Publishing,"[""'Award Winning'"", ""'Drama'"", ""'Sci-Fi'"", ""'Adult Cast'"", ""'Space'"", ""'Workplace'""]",Seinen,Morning,"[""'Koyama,Chuuya'""]",2007-12-06,Updating,7,7,0,0
Dungeon Meshi (Delicious in Dungeon),8.74,30439,49,178,87695,5669,Manga,14,102,Finished,"[""'Award Winning'"", ""'Comedy'"", ""'Fantasy'"", ""'Gourmet'""]",Seinen,Harta,"[""'Kui,Ryouko'""]",2014-02-15,2023-09-15,44,39,4,1
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. (My Youth Romantic Comedy Is Wrong, As I Expected)",8.74,20374,50,224,72152,4126,Light Novel,18,168,Finished,"[""'Comedy'"", ""'Romance'"", ""'Love Polygon'"", ""'School'""]",,,"[""'Watari,Wataru'"", ""'Ponkan⑧'""]",2011-03-18,2021-04-20,24,20,0,4
Made in Abyss,8.74,56030,51,62,167513,10426,Manga,3,16,Publishing,"[""'Adventure'"", ""'Drama'"", ""'Fantasy'"", ""'Sci-Fi'""]",,Web Comic Gamma,"[""'Tsukushi,Akihito'""]",2012-10-20,Updating,56,26,14,16
Hajime no Ippo (Hajime no Ippo: Fighting Spirit!),8.73,38494,52,167,91147,7078,Manga,3,16,Publishing,"[""'Award Winning'"", ""'Sports'"", ""'Combat Sports'""]",Shounen,Shounen Magazine (Weekly),"[""'Morikawa,George'""]",1989-09-27,Updating,24,18,4,2
One Punch-Man (One-Punch Man),8.73,244672,53,7,496861,39081,Manga,3,16,Publishing,"[""'Action'"", ""'Comedy'"", ""'Parody'"", ""'Super Power'""]",Seinen,Tonari no Young Jump,"[""'Murata,Yusuke'"", ""'ONE'""]",2012-06-14,Updating,60,47,10,3
Kusuriya no Hitorigoto (The Apothecary Diaries),8.72,2839,54,1596,13149,738,Light Novel,3,16,Publishing,"[""'Drama'"", ""'Mystery'"", ""'Medical'""]",,,"[""'Hyuuga,Natsu'"", ""'Shino,Touko'""]",2014-08-29,Updating,3,3,0,0
Veil,8.72,2956,55,1527,13607,712,Manga,3,16,Publishing,"[""'Romance'"", ""'Slice of Life'"", ""'Historical'""]",,,"[""'Fukuda,Ikumi'""]",2019-11-15,Updating,6,6,0,0
Shoujo Shuumatsu Ryokou (Girls' Last Tour),8.71,29314,56,218,73902,6344,Manga,6,47,Finished,"[""'Adventure'"", ""'Award Winning'"", ""'Slice of Life'"", ""'Iyashikei'""]",,Kurage Bunch,"[""'Tsukumizu'""]",2014-02-21,2018-01-12,38,36,2,0
Mushishi,8.71,20438,57,179,87232,2921,Manga,10,50,Finished,"[""'Award Winning'"", ""'Fantasy'"", ""'Mystery'"", ""'Supernatural'"", ""'Adult Cast'"", ""'Historical'"", ""'Iyashikei'""]",Seinen,Afternoon,"[""'Urushibara,Yuki'""]",1999-10-08,2008-08-25,12,12,0,0
Chainsaw Man,8.7,393895,58,3,647498,84155,Manga,3,16,Publishing,"[""'Action'"", ""'Award Winning'"", ""'Fantasy'"", ""'Gore'"", ""'Urban Fantasy'""]",Shounen,Shounen Jump+,"[""'Fujimoto,Tatsuki'""]",2018-12-03,Updating,376,280,65,31
The Horizon,8.7,45173,59,153,96763,4870,Manhwa,3,21,Finished,"[""'Adventure'"", ""'Drama'"", ""'Psychological'""]",,Comica,"[""'Jeong,Ji-Hoon'""]",2016-03-30,2016-07-21,61,53,8,0
Death Note,8.69,232378,60,14,405512,32171,Manga,12,108,Finished,"[""'Supernatural'"", ""'Suspense'"", ""'Psychological'""]",Shounen,Shounen Jump (Weekly),"[""'Obata,Takeshi'"", ""'Ohba,Tsugumi'""]",2003-12-01,2006-05-15,106,96,7,3
Beck (BECK: Mongolian Chop Squad),8.69,29428,61,189,82769,5103,Manga,34,103,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Romance'"", ""'Music'""]",Shounen,Shounen Magazine (Monthly),"[""'Sakuishi,Harold'""]",2000-02-17,2008-06-05,30,29,1,0
Dorohedoro,8.69,59706,62,47,183385,14026,Manga,23,190,Finished,"[""'Action'"", ""'Comedy'"", ""'Fantasy'"", ""'Horror'"", ""'Gore'""]",Seinen,Gessan,"[""'Hayashida,Q'""]",2000-11-30,2018-09-12,59,53,4,2
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari (The House in Fata Morgana),8.69,1156,63,4882,4364,483,Light Novel,5,21,Finished,"[""'Drama'"", ""'Horror'"", ""'Mystery'"", ""'Supernatural'""]",,,"[""'Hanada,Keika'"", ""'Moyataro'""]",2014-08-08,2016-01-14,4,4,0,0
Kono Oto Tomare!,8.69,13125,64,387,45622,2684,Manga,3,16,Publishing,"[""'Drama'"", ""'Music'"", ""'School'""]",Shounen,Jump SQ.,"[""'Sakura,Amyuu'""]",2012-08-04,Updating,14,13,1,0
Utsuro no Hako to Zero no Maria (The Empty Box and Zeroth Maria),8.69,20924,65,138,104619,5332,Light Novel,7,40,Finished,"[""'Action'"", ""'Drama'"", ""'Horror'"", ""'Mystery'"", ""'Romance'"", ""'Supernatural'"", ""'Suspense'"", ""'Psychological'"", ""'School'""]",,,"[""'Mikage,Eiji'"", ""'Tetsuo'""]",2009-01-10,2015-06-10,49,40,5,4
Natsume Yuujinchou (Natsume's Book of Friends),8.67,11398,66,386,45627,2240,Manga,3,16,Publishing,"[""'Drama'"", ""'Supernatural'"", ""'Iyashikei'""]",Shoujo,LaLa,"[""'Midorikawa,Yuki'""]",2003-06-10,Updating,6,5,1,0
Akira,8.66,45210,67,91,136720,6635,Manga,6,120,Finished,"[""'Action'"", ""'Award Winning'"", ""'Sci-Fi'"", ""'Gore'""]",Seinen,Young Magazine (Weekly),"[""'Otomo,Katsuhiro'""]",1982-12-06,1990-06-11,35,24,6,5
Solo Leveling,8.66,315417,68,5,530672,45336,Manhwa,3,201,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Adult Cast'"", ""'Urban Fantasy'""]",,KakaoPage,"[""'Chugong,Jang'"", ""'Sung-rak,Disciples'""]",2018-03-04,2023-05-31,284,170,74,40
Bungou Stray Dogs: Beast (Bungo Stray Dogs: Beast),8.66,6036,69,1212,16389,825,Manga,4,22,Finished,"[""'Action'"", ""'Mystery'"", ""'Supernatural'"", ""'Detective'""]",Shounen,Shounen Ace,"[""'Asagiri,Kafka'"", ""'Hoshikawa,Shiwasu'""]",2019-12-26,2022-01-26,2,2,0,0
Kimi no Suizou wo Tabetai (I Want to Eat Your Pancreas),8.65,3765,70,2463,8686,451,Novel,1,10,Finished,"[""'Drama'"", ""'Romance'""]",,,"[""'Sumino,Yoru'""]",2015-06-17,2015-06-17,4,4,0,0
Yokohama Kaidashi Kikou,8.65,19653,71,205,77408,5253,Manga,14,142,Finished,"[""'Award Winning'"", ""'Sci-Fi'"", ""'Slice of Life'"", ""'Iyashikei'""]",Seinen,Afternoon,"[""'Ashinano,Hitoshi'""]",1994-04-25,2006-02-25,42,33,2,7
Yagate Kimi ni Naru (Bloom into You),8.65,50592,72,129,110006,10128,Manga,8,50,Finished,"[""'Drama'"", ""'Girls Love'"", ""'School'""]",,Dengeki Daioh,"[""'Nakatani,Nio'""]",2015-04-27,2019-09-27,86,80,5,1
"Sayonara Eri (Goodbye, Eri)",8.65,85437,73,96,130521,6928,Manga,1,16,Finished,"[""'Drama'""]",Shounen,Shounen Jump+,"[""'Fujimoto,Tatsuki'""]",2022-04-11,2022-04-11,71,64,4,3
No Home,8.64,1794,74,4527,4743,344,Manhwa,3,269,Finished,"[""'Slice of Life'"", ""'School'""]",,Naver Webtoon,"[""'Wanan'""]",2018-12-31,2024-08-05,9,9,0,0
 Series (Zaregoto),8.64,4650,75,765,24661,1243,Light Novel,3,16,Publishing,"[""'Action'"", ""'Drama'"", ""'Mystery'"", ""'Supernatural'""]",,,"[""'NISIO,ISIN'"", ""'Take'""]",2002-02-05,Updating,10,9,1,0
Violet Evergarden,8.64,6418,76,652,28462,754,Light Novel,2,13,Finished,"[""'Drama'"", ""'Fantasy'""]",,,"[""'Akatsuki,Kana'"", ""'Takase,Akiko'""]",2015-12-25,2016-12-26,5,4,1,0
Tongari Boushi no Atelier (Witch Hat Atelier),8.64,23977,77,144,99623,5978,Manga,3,16,Publishing,"[""'Fantasy'""]",Seinen,Morning Two,"[""'Shirahama,Kamome'""]",2016-07-22,Updating,25,18,5,2
Wind Breaker,8.63,20417,78,300,56398,3365,Manhwa,3,16,Publishing,"[""'Action'"", ""'Drama'"", ""'Sports'""]",,Naver Webtoon,"[""'Jo,Yongseok'""]",2013-12-15,Updating,15,13,1,1
Gintama,8.63,40356,79,150,97431,8310,Manga,77,709,Finished,"[""'Action'"", ""'Comedy'"", ""'Sci-Fi'"", ""'Gag Humor'"", ""'Historical'"", ""'Parody'"", ""'Samurai'""]",Shounen,Shounen Jump (Weekly),"[""'Sorachi,Hideaki'""]",2003-12-08,2019-06-20,30,27,2,1
Kozure Ookami (Lone Wolf & Cub),8.63,7524,80,359,48462,1557,Manga,28,142,Finished,"[""'Action'"", ""'Historical'"", ""'Samurai'""]",Seinen,Manga Action,"[""'Koike,Kazuo'"", ""'Kojima,Goseki'""]",1970-09-01,1976-04-01,10,9,1,0
Mo Dao Zu Shi (Grandmaster of Demonic Cultivation: Mo Dao Zu Shi),8.63,5072,81,1390,14785,716,Manhua,3,260,Finished,"[""'Action'"", ""'Adventure'"", ""'Boys Love'"", ""'Mystery'"", ""'Supernatural'"", ""'Historical'""]",,Kuaikan Manhua,"[""'Mo Xiang Tong Xiu,Luo Di Cheng Qiu'""]",2017-12-08,2022-10-26,4,1,1,2
ReLIFE,8.63,82286,82,65,165394,12141,Manga,15,238,Finished,"[""'Comedy'"", ""'Drama'"", ""'Romance'"", ""'Slice of Life'"", ""'School'""]",,comico,"[""'Yayoi,Sou'""]",2013-10-12,2018-03-16,72,70,1,1
Golden Kamuy,8.63,26944,83,151,97382,5455,Manga,31,314,Finished,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Historical'""]",Seinen,Young Jump,"[""'Noda,Satoru'""]",2014-08-21,2022-04-28,30,28,2,0
Overlord,8.62,22824,84,260,64574,3975,Light Novel,3,16,Publishing,"[""'Action'"", ""'Fantasy'"", ""'Isekai'""]",,,"[""'Maruyama,Kugane'"", ""'so-bin'""]",2012-07-30,Updating,12,9,1,2
Aria,8.62,10769,85,454,39783,2622,Manga,12,67,Finished,"[""'Adventure'"", ""'Comedy'"", ""'Drama'"", ""'Sci-Fi'"", ""'Slice of Life'"", ""'Iyashikei'""]",Shounen,Comic Blade,"[""'Amano,Kozue'""]",2002-02-28,2008-02-29,19,17,1,1
Pluto (Pluto: Urasawa x Tezuka),8.62,47517,86,101,126330,5373,Manga,8,65,Finished,"[""'Action'"", ""'Award Winning'"", ""'Mystery'"", ""'Sci-Fi'"", ""'Suspense'"", ""'Detective'"", ""'Psychological'""]",Seinen,Big Comic Original,"[""'Urasawa,Naoki'"", ""'Tezuka,Osamu'""]",2003-09-09,2009-04-01,37,33,4,0
Ginga Eiyuu Densetsu (Legend of the Galactic Heroes),8.62,2131,87,2002,10406,308,Novel,10,94,Finished,"[""'Action'"", ""'Adventure'"", ""'Drama'"", ""'Sci-Fi'"", ""'Adult Cast'"", ""'Military'"", ""'Space'""]",,,"[""'Tanaka,Yoshiki'"", ""'Katou,Naoyuki'"", ""'Kamoshita,Yukihisa'""]",1982-11-01,1987-11-01,6,5,1,0
Kusuriya no Hitorigoto (The Apothecary Diaries),8.62,20345,88,235,69310,3434,Manga,3,16,Publishing,"[""'Drama'"", ""'Mystery'"", ""'Historical'"", ""'Medical'""]",Seinen,Big Gangan,"[""'Hyuuga,Natsu'"", ""'Nekokurage'""]",2017-05-25,Updating,15,15,0,0
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch (Umineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch),8.62,6025,89,1466,14112,364,Manga,9,48,Finished,"[""'Drama'"", ""'Mystery'"", ""'Supernatural'"", ""'Suspense'"", ""'Psychological'""]",Shounen,Shounen Gangan,"[""'Mizuno,Eita'"", ""'Ryukishi07'""]",2011-04-13,2015-03-12,2,2,0,0
Shinyaku Toaru Majutsu no Index (A Certain Magical Index NT),8.62,5396,90,1266,15903,1199,Light Novel,23,178,Finished,"[""'Action'"", ""'Comedy'"", ""'Fantasy'"", ""'Sci-Fi'"", ""'Supernatural'"", ""'Super Power'""]",,,"[""'Kamachi,Kazuma'"", ""'Haimura,Kiyotaka'""]",2011-03-10,2019-07-10,8,8,0,0
Koten-bu Series,8.61,3695,91,1045,18869,623,Novel,3,16,Publishing,"[""'Adventure'"", ""'Mystery'"", ""'School'""]",,,"[""'Yonezawa,Honobu'""]",2001-10-31,Updating,6,5,0,1
Mob Psycho 100,8.61,48102,92,109,120126,5699,Manga,16,109,Finished,"[""'Action'"", ""'Award Winning'"", ""'Comedy'"", ""'Supernatural'"", ""'Super Power'""]",,MangaONE,"[""'ONE'""]",2012-04-18,2017-12-22,15,13,1,1
