Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Chuanyue Xiyuan 3000 Hou (Travel to AD 3000),,,30933,29969,307,10,Manhua,Unknown,Unknown,Publishing,"Sep  15, 2011 to ?","['Action', 'Drama', 'Romance', 'Sci-Fi']",['Time Travel'],,Samanhua,"Tianping (Story), Xiaoxiao Zuowen (Art)",0,"[0, 0, 0]"
Wo Nanpiao Shi Jinyiwei (My Imperial Guard Boyfriend),,,30937,49500,87,3,Manhua,Unknown,196,Finished,"Feb  3, 2016 to Feb  21, 2020",['Romance'],"['Historical', 'Time Travel']",,Kuaikan Manhua,Hong Jun (Story & Art),0,"[0, 0, 0]"
AOTU Shijie,,,30999,69019,25,0,Manhua,Unknown,Unknown,Publishing,"Dec  19, 2014 to ?","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],,,"Yun Luo (Story), Zhao Mao (Art)",0,"[0, 0, 0]"
Mofa Shaonu Tongji Zhong!,,,31040,58877,54,0,Manhua,1,5,Finished,"Aug  17, 2018","['Adventure', 'Fantasy', 'Romance']",['Mahou Shoujo'],,,Gene (Story & Art),0,"[0, 0, 0]"
Fei Ren Zai,,,31148,44474,117,2,Manhua,Unknown,Unknown,Publishing,"Sep  10, 2015 to ?","['Comedy', 'Supernatural']",['Mythology'],,Kuaikan Manhua,Yiwang Kongqi (Story & Art),0,"[0, 0, 0]"
Yongzhe Shi Nuhai,,,31222,67808,29,0,Manhua,14,87,Finished,2013 to  2018,"['Action', 'Fantasy']","['Isekai', 'Magical Sex Shift']",,Zhiyin Manke,"Jiu Ye (Art), Mo Dou Langzi (Story)",0,"[0, 0, 0]"
Di Er Moshi (Mode II),,,31772,61806,46,1,Manhua,Unknown,71,Finished,"Oct  1, 2017 to Mar  10, 2019",['Suspense'],['Super Power'],,Kuaikan Manhua,"You, Ling (Story & Art)",0,"[0, 0, 0]"
1031 Wan Sheng Jie,,,31808,57099,58,12,Manhua,Unknown,Unknown,Publishing,May  2018 to ?,"['Comedy', 'Fantasy']",['Mythology'],,,Ling Zi Huan You Chao (Story & Art),0,"[0, 0, 0]"
Lanxi Zhen,,,31851,46023,106,8,Manhua,Unknown,Unknown,Publishing,"Sep  27, 2018 to ?",['Fantasy'],['Historical'],,,Sungua (Story & Art),0,"[0, 0, 0]"
Wo Jia Da Shixiong Naozi You Keng,,,32010,48252,93,1,Manhua,Unknown,Unknown,Publishing,"Jul  4, 2015 to ?","['Action', 'Comedy', 'Fantasy']","['Martial Arts', 'Reincarnation']",,,"Ling, Yu Mo (Story & Art)",0,"[0, 0, 0]"
Xing Meng Ouxiang Jihua (Star Dream Idol Project),,,32199,37848,175,6,Manhua,Unknown,Unknown,Publishing,Jan  2015 to ?,['Drama'],['Music'],,,"Baixiong (Story), Yantou hstone (Art)",0,"[0, 0, 0]"
Zuihou de Zhaohuan Shi (The Last Summoner),,,32422,21865,577,3,Manhua,Unknown,Unknown,Publishing,"Jan  22, 2016 to ?","['Action', 'Adventure', 'Fantasy']",[],,,ASK Studio (Story & Art),0,"[0, 0, 0]"
Xiu Zhen Liaotian Qun (Cultivation Chat Group),,,32716,27536,370,6,Manhua,Unknown,Unknown,Publishing,"Jul  27, 2017 to ?","['Action', 'Comedy', 'Supernatural']",[],,Tencent Animation,"Shengqishi de Chuanshuo (Story), Huoli Xiongmao (Art)",1,"[1, 0, 0]"
Tao Yu Moshi Zhi Shu (Last Word of the World),,,32853,38935,163,0,Manhua,Unknown,Unknown,Publishing,"Sep  13, 2019 to ?","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],,Kuaikan Manhua,Chen Xi (Story & Art),0,"[0, 0, 0]"
Cheng Ye Xiao He (For the Win!),,,33150,34623,220,3,Manhua,Unknown,126,Finished,"Aug  21, 2018 to May  12, 2021",['Romance'],"['School', 'Video Game']",,Kuaikan Manhua,"Zuo, Xiao Ling (Story), Ke, Xiao Sha (Art)",1,"[1, 0, 0]"
Wan Zha Chao Huang (Cheating Men Must Die),,,33177,26330,406,14,Manhua,Unknown,Unknown,Publishing,"Jan  26, 2019 to ?","['Drama', 'Fantasy']",['Isekai'],,Tencent Animation,Shidai Man Wang (Story & Art),1,"[1, 0, 0]"
Mao Yu Hai de Bi Duan (Sea You There and Us),,,33302,71921,13,0,Manhua,1,7,Finished,"Oct  21, 2021 to Dec  30, 2021",['Drama'],['School'],,Creative Comic Collection,"Chen, Chiao-jung (Story), Xingqi Yi Huishou Ri (Art)",0,"[0, 0, 0]"
Chunjiang Hua Yue (A Moonlit Spring River),,,33372,72176,10,0,Manhua,Unknown,Unknown,Publishing,"Oct  14, 2018 to ?","['Action', 'Boys Love']",['Historical'],,,"Zhao, Paulina (Story & Art)",0,"[0, 0, 0]"
Qiangwei Liaoluan (The Dazzling Rose),,,33375,72799,5,0,Manhua,Unknown,36,Discontinued,"Jan  12, 2015 to Nov  5, 2016","['Fantasy', 'Romance']",['School'],,Hao Manhua,HeHe (Story & Art),0,"[0, 0, 0]"
Wo Zhi Xihuan Ni De Renshe (I Love Your Persona),,,33531,72800,5,0,Manhua,Unknown,38,Discontinued,"Jun  4, 2022 to May  27, 2023","['Boys Love', 'Drama']","['Adult Cast', 'Showbiz']",,Bilibili Manhua,"Zhi Chu (Story), Pu Luoxiu (Art)",0,"[0, 0, 0]"
Shijie Mori Ye Yao He Ni Zai Yiqi (Loving You When the World Ended),,,33551,60570,49,0,Manhua,1,6,Finished,"Aug  2, 2019","['Boys Love', 'Comedy']",[],,,Gene (Story & Art),0,"[0, 0, 0]"
Nan Hong (Eternal Love),,,33591,29114,328,2,Manhua,Unknown,Unknown,Publishing,"Feb  19, 2022 to ?",['Romance'],['Adult Cast'],,Kuaikan Manhua,"zero (Art), Zhuyi (Story)",0,"[0, 0, 0]"
Xiao Mogu (Wrong But Still Right),,,33759,32153,261,13,Manhua,Unknown,Unknown,Publishing,"Aug  17, 2023 to ?","['Boys Love', 'Sci-Fi']",['Psychological'],,Kuaikan Manhua,"Yishisi Zhou (Story), Maomao Tou (Art)",0,"[0, 0, 0]"
"Zai Jian, Wo de Guo Wang (The King and Me)",,,33761,35385,208,10,Manhua,Unknown,Unknown,Publishing,"Aug  22, 2022 to ?","['Boys Love', 'Fantasy']",['Time Travel'],,Kuaikan Manhua,"Wen, Yuan (Story & Art)",0,"[0, 0, 0]"
Mei Ri Bian Che (A Free Ride Everyday),,,33840,56972,59,0,Manhua,Unknown,57,Finished,"Jun  29, 2020 to Oct  22, 2021","['Comedy', 'Romance']",['Adult Cast'],,Kuaikan Manhua,HAHA Ni (Story & Art),0,"[0, 0, 0]"
San Ti (The Three-Body Problem),,,34114,65191,37,0,Manhua,10,Unknown,Finished,2023,['Sci-Fi'],[],,Tencent Animation,"Liu, Cixin (Story), Cai, XuDong (Art)",0,"[0, 0, 0]"
Xiaochou Yisheng: Zuihou Yici Shuo Zaijian,,,34237,63610,41,0,Manhua,1,7,Finished,"Jan  31, 2020",['Drama'],['Medical'],,,"Ke Li (Art), Feng, Shi (Story)",1,"[1, 0, 0]"
Tianbao Fuyao Lu (Legend of Exorcism),,,34552,56345,61,0,Manhua,Unknown,72,On Hiatus,"Jan  19, 2020 to  2022","['Action', 'Adventure', 'Boys Love', 'Fantasy', 'Mystery']",['Mythology'],,,"Fei Tian Ye Xiang (Story), Wrap (Art)",0,"[0, 0, 0]"
Lily,,,34733,42744,130,5,Manhua,Unknown,948,Finished,"Mar  21, 2016 to Jul  23, 2020",['Girls Love'],['School'],,,Y Shen (Story & Art),0,"[0, 0, 0]"
X: Long Shidai (X: Age of the Dragon),,,34863,59976,51,0,Manhua,Unknown,Unknown,Publishing,Dec  2012 to ?,"['Action', 'Adventure', 'Fantasy']",['Time Travel'],,Shenman,"Yun Tian Kong (Story), XIII (Art)",0,"[0, 0, 0]"
Diandi Monu (Dawn the Teen Witch),,,35145,66383,33,0,Manhua,Unknown,65,Finished,"Feb  3, 2019 to Apr  9, 2020","['Fantasy', 'Romance']",['School'],,Kuaikan Manhua,"Jiaoxiangting (Art), Tang Tang (Story)",0,"[0, 0, 0]"
Donglin Xixiang (Beauty and the West Chamber),,,35156,71416,15,0,Manhua,Unknown,183,Finished,"May  17, 2018 to Jul  2, 2021","['Boys Love', 'Drama', 'Fantasy']","['Adult Cast', 'Historical']",,Tencent Animation,"Ruoyejun (Story), Winslow (Art)",0,"[0, 0, 0]"
Wu Nao Monu (Brainless Witch),,,35272,54568,67,0,Manhua,Unknown,Unknown,Publishing,"Jun  13, 2019 to ?","['Drama', 'Fantasy']",[],,Bilibili Manhua,Luo Hui Zhi Shu (Story & Art),0,"[0, 0, 0]"
"Shui Gen Ni Mofa Shaonu, Wo Shi OOXX",,,35344,72394,9,0,Manhua,6,43,Finished,"Aug  25, 2016 to Jul  25, 2020","['Adventure', 'Fantasy']",[],Shounen,Dragon Youth,"Yang, Chi-Cheng (Story & Art)",0,"[0, 0, 0]"
Bai Yao Pu (Hundred Demon Spectrum),,,35401,68746,26,0,Manhua,Unknown,131,Finished,Feb  2019 to Nov  2022,"['Adventure', 'Fantasy']","['Historical', 'Mythology']",,Bilibili Manhua,"Sha Luo Shuang Shu (Story), Yu You Le (Art)",0,"[0, 0, 0]"
Xunzhao Clotho (Looking for Clotho),,,35629,72731,6,0,Manhua,Unknown,68,Finished,"May  24, 2013 to Nov  20, 2017","['Mystery', 'Supernatural']",[],,u17,Heimai (Story & Art),0,"[0, 0, 0]"
Helena Yu Dayelang Xiansheng (Helena and Mr. Big Bad Wolf),,,35681,71427,15,1,Manhua,2,Unknown,Finished,"Jun  27, 2020 to  2022",['Drama'],[],,Creative Comic Collection,Bulibuli (Story & Art),0,"[0, 0, 0]"
Lianai Qianceng Dangao (Love Millefeuille),,,35781,71970,12,0,Manhua,1,5,Finished,"Apr  12, 2015 to Oct  12, 2016","['Boys Love', 'Drama']",['Detective'],,Touch+,Hua Xin (Story & Art),0,"[0, 0, 0]"
Jue Ding (The Pinnacle),,,35933,71737,13,0,Manhua,Unknown,Unknown,Publishing,"Feb  1, 2019 to ?","['Adventure', 'Comedy', 'Fantasy']",['Martial Arts'],,,"Xiao, Xinyu (Story & Art)",0,"[0, 0, 0]"
Qing Se Guo Shi (Green Fruitage),,,36601,51890,77,0,Manhua,1,8,Finished,1996,"['Comedy', 'Drama', 'Romance']",[],Shoujo,,"You, Gui Xiu (Story & Art)",0,"[0, 0, 0]"
