Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Toumei Otoko to Ningen Onna: Sonouchi Fuufu ni Naru Futari (The Invisible Man and His Soon-to-Be Wife),7.52,569.0,2771,6474,"3,188",26,Manga,Unknown,Unknown,Publishing,"Nov  28, 2021 to ?","['Comedy', 'Romance', 'Supernatural']",[],,,Iwatobineko (Story & Art),1,"[1, 0, 0]"
Kyou mo Veranda de (On the Balcony Again Today),7.52,754.0,2778,6367,"3,245",21,Manga,Unknown,Unknown,Publishing,"Sep  15, 2022 to ?",['Slice of Life'],['Adult Cast'],Seinen,Morning,"Itokawa, Issei (Story & Art)",3,"[1, 2, 0]"
Delivery Hug Therapy,7.52,250.0,2779,23354,511,2,Manga,1,6,Finished,"Apr  7, 2020 to Aug  18, 2020","['Boys Love', 'Slice of Life']",[],,B-BOY P!,"Miyata, Toworu (Story & Art)",0,"[0, 0, 0]"
Color Collection,7.52,230.0,2782,24024,486,4,Manga,1,7,Finished,"May  25, 2021 to Jan  25, 2023",['Boys Love'],"['School', 'Visual Arts']",,.Bloom,"Serizawa, Tomo (Story & Art)",1,"[1, 0, 0]"
Kami no Fune de Nemuru (Sleeping on the Paper Ship),7.52,206.0,2783,16131,955,17,Manga,2,10,Finished,"May  19, 2023 to Nov  10, 2023","['Boys Love', 'Drama']","['Adult Cast', 'Historical']",,Canna Comics,"Yatsuda, Teki (Story & Art)",0,"[0, 0, 0]"
Kakuriyo no Yadomeshi: Ayakashi Oyado ni Yomeiri shimasu. (Kakuriyo: Bed & Breakfast for Spirits),7.52,789.0,2784,4637,"4,616",84,Manga,Unknown,Unknown,Publishing,"Apr  30, 2016 to ?","['Gourmet', 'Supernatural']",['Mythology'],Shoujo,B's-LOG Comic,"Ioka, Wako (Art), Yuuma, Midori (Story)",1,"[1, 0, 0]"
Marry Grave,7.52,2935.0,2785,2800,"7,766",130,Manga,5,52,Finished,"Dec  13, 2017 to Jan  16, 2019",['Fantasy'],[],Shounen,Shounen Sunday,"Yamaji, Hidenori (Story & Art)",8,"[7, 0, 1]"
Shinozaki-kun no Maintenance Jijou,7.52,370.0,2786,10156,"1,823",25,Manga,10,52,Finished,"Nov  30, 2017 to Aug  24, 2023","['Comedy', 'Fantasy']",[],,pixiv Sylph,"Burio, Michiru (Story & Art)",1,"[1, 0, 0]"
Promise Cinderella,7.52,2073.0,2787,3019,"7,199",100,Manga,16,120,Finished,"Jan  1, 2018 to Aug  1, 2022","['Drama', 'Romance']",[],,MangaONE,"Tachibana, Oreco (Story & Art)",7,"[4, 1, 2]"
Kawaii dake ja Nai Shikimori-san (Shikimori's Not Just a Cutie),7.52,22608.0,2788,245,"67,759","1,488",Manga,20,201,Finished,"Feb  2, 2019 to Feb  18, 2023","['Comedy', 'Romance']",[],,Magazine pocket,"Maki, Keigo (Story & Art)",26,"[21, 4, 1]"
Temple (TenPuru: No One Can Live on Loneliness),7.52,7638.0,2789,742,"25,474",269,Manga,Unknown,Unknown,Publishing,"Sep  1, 2018 to ?","['Romance', 'Slice of Life', 'Ecchi']",['Harem'],,Comic Days,"Yoshioka, Kimitake (Story & Art)",6,"[5, 1, 0]"
Nyx no Lantern,7.52,248.0,2790,14192,"1,156",16,Manga,6,50,Finished,"Mar  27, 2015 to Jun  27, 2019","['Award Winning', 'Romance', 'Slice of Life', 'Supernatural']",['Historical'],,Comic Ran,"Takahama, Kan (Story & Art)",1,"[1, 0, 0]"
Furare Girl,7.52,927.0,2791,5392,"3,932",39,Manga,14,68,Finished,"Mar  5, 2018 to Jun  3, 2022","['Comedy', 'Romance']",['School'],Shoujo,Hana to Yume,"Tsutsumi, Kakeru (Story & Art)",4,"[3, 0, 1]"
"Hello, Melancholic!",7.52,2551.0,2792,3519,"6,188",98,Manga,3,16,Finished,"Jun  18, 2019 to Nov  18, 2020",['Girls Love'],"['Music', 'School']",,Comic Yuri Hime,"Oosawa, Yayoi (Story & Art)",6,"[3, 3, 0]"
Koisuru Kiseichuu,7.52,4117.0,2793,1894,"11,109",267,Manga,3,16,Finished,"Jul  26, 2018 to Dec  26, 2019","['Drama', 'Romance', 'Supernatural']",[],Shounen,Shounen Ace,"Miaki, Sugaru (Story), Hotate, Yuuki (Art)",6,"[4, 2, 0]"
Id:Invaded: #Brake-Broken (ID:Invaded #Brake-Broken),7.52,1147.0,2794,4879,"4,367",67,Manga,3,14,Finished,"Oct  4, 2019 to Nov  4, 2020","['Drama', 'Mystery', 'Sci-Fi']","['Detective', 'Psychological']",Seinen,Young Ace,"Maijou, Outarou (Story), Kodama, Yuuki (Art)",4,"[3, 1, 0]"
Suicide Girl,7.52,1797.0,2795,2656,"8,121",140,Manga,10,40,Finished,"Apr  17, 2020 to Jan  18, 2024","['Action', 'Horror', 'Supernatural']",['Mahou Shoujo'],Seinen,Ultra Jump,"Nakayama, Atsushi (Story & Art)",3,"[2, 0, 1]"
Usotsuki Satsuki wa Shi ga Mieru,7.52,3312.0,2797,1977,"10,575",216,Manga,9,84,Finished,"May  20, 2020 to Apr  17, 2024","['Horror', 'Supernatural']",['School'],,MangaONE,Ryouko (Story & Art),5,"[4, 1, 0]"
Double,7.52,244.0,2798,8909,"2,159",24,Manga,Unknown,Unknown,Publishing,"Jan  11, 2019 to ?","['Award Winning', 'Drama']","['Performing Arts', 'Psychological']",Josei,Flat Hero's,"Noda, Ayako (Story & Art)",0,"[0, 0, 0]"
Amagami-san Chi no Enmusubi (Tying the Knot with an Amagami Sister),7.52,5132.0,2799,1054,"18,765",326,Manga,Unknown,Unknown,Publishing,"Apr  21, 2021 to ?","['Comedy', 'Romance']",['Harem'],Shounen,Shounen Magazine (Weekly),"Naitou, Marcey (Story & Art)",10,"[6, 2, 2]"
Ai yori Aoshi,7.52,5942.0,2800,1508,"13,722",315,Manga,17,153,Finished,"Nov  27, 1998 to Aug  26, 2005","['Comedy', 'Drama', 'Romance', 'Ecchi']",['Harem'],Seinen,Young Animal,"Fumizuki, Kou (Story & Art)",6,"[5, 1, 0]"
"""Kare"" First Love (Kare First Love)",7.52,8334.0,2801,1172,"16,785",362,Manga,10,58,Finished,"Aug  20, 2002 to  2004","['Drama', 'Romance', 'Slice of Life']",['School'],Shoujo,Sho-Comi,"Miyasaka, Kaho (Story & Art)",11,"[7, 2, 2]"
Yume de Aetara (If I See You in My Dreams),7.52,1919.0,2802,4287,"5,076",54,Manga,17,143,Finished,Feb  1994 to Dec  1999,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Ecchi']",[],Seinen,Business Jump,"Yamahana, Noriyuki (Story & Art)",4,"[4, 0, 0]"
Happy!,7.52,1953.0,2803,2675,"8,071",87,Manga,23,254,Finished,"Oct  25, 1993 to Mar  8, 1999","['Drama', 'Sports']",[],Seinen,Big Comic Spirits,"Urasawa, Naoki (Story & Art)",7,"[6, 0, 1]"
"Yesterday wo Utatte (Sing ""Yesterday"" for Me)",7.51,5135.0,2877,970,"19,917",498,Manga,11,113,Finished,"Dec  15, 1997 to Jun  3, 2015","['Drama', 'Romance', 'Slice of Life']",['Love Polygon'],Seinen,Grand Jump,"Toume, Kei (Story & Art)",13,"[12, 0, 1]"
Gogo Monster,7.52,2777.0,2804,2576,"8,364",209,Manga,1,5,Finished,"Oct  23, 2000",['Fantasy'],[],,,"Matsumoto, Taiyou (Story & Art)",3,"[1, 2, 0]"
