Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Seiyou Kottou Yougashiten dj,7.38,402,3241,16382,934,4,Doujinshi,14,14,Finished,2000 to  2006,"[""'Boys Love'"", ""'Comedy'"", ""'Drama'"", ""'Slice of Life'"", ""'Erotica'""]",Shoujo,Magazine Cyberia,"[""'Yoshinaga,Fumi'""]",2000-01-01,2006-01-01,0,0,0,0
Fake Second,7.36,298,4147,15757,990,3,Doujinshi,1,2,Publishing,2010 to ?,"[""'Action'"", ""'Boys Love'"", ""'Comedy'"", ""'Detective'""]",Seinen,Magazine Cyberia,"[""'Matoh,Sanami'""]",2010-01-01,Updating,0,0,0,0
Karui Kimochi de Heya ni Ageta Gal to Hamemakuri!? (Gyarus in My Room for a Fuckfest),7.35,173,4148,21920,575,11,Doujinshi,1,2,Finished,"Dec  31, 2019","[""'Hentai'""]",Seinen,Galette meets,"[""'Puuzaki,Puuna'""]",2019-12-31,2019-12-31,0,0,0,0
"Me wo Tojite 3-byou dj - Me wo Hiraitemo, 3 Senchi.",7.35,679,4149,13269,1274,2,Doujinshi,1,1,Finished,2011,"[""'Boys Love'"", ""'Erotica'""]",Seinen,Badi,"[""'Aniya,Yuiji'""]",2011-01-01,2011-01-01,0,0,0,0
Otona Keikenchi dj - Boku wa Sunao ja Nai.,7.35,1592,4150,6346,3262,3,Doujinshi,1,1,Finished,"Mar  8, 2009","[""'Boys Love'"", ""'Comedy'"", ""'Erotica'""]",Seinen,Galette meets,"[""'Nekota,Yonezou'""]",2009-03-08,2009-03-08,0,0,0,0
Blue! Blue! Blue! After Story,7.34,289,4151,21853,578,1,Doujinshi,1,2,Finished,"Oct  21, 2018","[""'Boys Love'"", ""'Erotica'""]",Seinen,Magazine Cyberia,"[""'Amamiya'""]",2018-10-21,2018-10-21,0,0,0,0
Houkago (After School),7.34,225,4152,20647,640,3,Doujinshi,1,2,Publishing,"Apr  30, 2018 to ?","[""'Girls Love'"", ""'Erotica'"", ""'School'""]",Shoujo,Manga Time Jumbo,"[""'Oshima,Towa'"", ""'Ooshima,Tomo'""]",2018-04-30,Updating,0,0,0,0
Rules/Hydra Short Stories,7.34,499,4153,15088,1056,6,Doujinshi,1,6,Finished,2004 to ?,"[""'Boys Love'"", ""'Drama'"", ""'Slice of Life'"", ""'Erotica'""]",Seinen,Reijin,"[""'Miyamoto,Kano'""]",2004-01-01,Updating,0,0,0,0
Leviathan,7.33,941,4483,8908,2161,20,Doujinshi,1,2,Finished,"Aug  25, 2019","[""'Sci-Fi'"", ""'Suspense'"", ""'Space'"", ""'Survival'""]",Shoujo,Galette meets,"[""'Hiramatsu,Kannosuke'""]",2019-08-25,2019-08-25,4,1,3,0
Mousou Elektel dj - Mousou Graffiti,7.33,676,4484,12317,1407,0,Doujinshi,1,2,Finished,"Aug  11, 2013","[""'Boys Love'"", ""'Drama'"", ""'Romance'"", ""'Erotica'""]",Shoujo,Manga Time Jumbo,"[""'Nekota,Yonezou'""]",2013-08-11,2013-08-11,0,0,0,0
Ase to Sekken dj - Kodomo Tsukuru Hon,7.32,456,4485,15062,1059,4,Doujinshi,1,2,Finished,"Jun  6, 2021","[""'Hentai'""]",Seinen,Comic Valkyrie,"[""'Yamada,Kintetsu'""]",2021-06-06,2021-06-06,0,0,0,0
Gokugoku Futsuu no Fuufu no Hanashi: Matome,7.31,515,4637,8460,2311,12,Doujinshi,1,2,Publishing,"Dec  31, 2023 to ?","[""'Comedy'"", ""'Romance'""]",Shoujo,Comic ExE,"[""'Tokiwa'""]",2023-12-31,Updating,1,0,1,0
R.E.I.N.A,7.31,1023,4638,7306,2756,49,Doujinshi,1,2,Finished,"Dec  31, 2016","[""'Hentai'""]",Shoujo,Manga Time Jumbo,"[""'Hiten'""]",2016-12-31,2016-12-31,1,1,0,0
Dear My Teacher,7.31,959,4644,6272,3306,26,Doujinshi,1,2,Publishing,"Dec  30, 2012 to ?","[""'Girls Love'"", ""'Romance'"", ""'School'""]",Seinen,Manga Time Family,"[""'Ajiichi'""]",2012-12-30,Updating,2,2,0,0
Hyakujitsu no Bara dj - Luckenwalde no Heya de,7.31,576,4645,13458,1247,7,Doujinshi,4,4,Finished,"Aug  14, 2009","[""'Boys Love'"", ""'Erotica'""]",Seinen,Manga Time Family,"[""'Inariya,Fusanosuke'""]",2009-08-14,2009-08-14,0,0,0,0
"Tadaima, Okaeri dj - Oni Taiji!",7.3,199,4733,24740,458,2,Doujinshi,1,2,Finished,"Mar  5, 2017","[""'Boys Love'"", ""'Slice of Life'""]",Shoujo,Comic ExE,"[""'Ichikawa,Ichi'""]",2017-03-05,2017-03-05,0,0,0,0
Tomodachi no Neechan ni Koishita Hanashi to Neechan no Tomodachi ga Uzai Hanashi (I Fell for My Friend's Older Sister + My Older Sister's Friend is Annoying),7.29,186,4879,18423,773,7,Doujinshi,1,2,Publishing,"Feb  21, 2022 to ?","[""'Romance'""]",Seinen,Reijin,"[""'Azusa,Kina'""]",2022-02-21,Updating,0,0,0,0
Heart Mark Oome. (Lotsa Hearts),7.29,316,4880,14148,1162,10,Doujinshi,3,2,Finished,"Dec  31, 2018 to Aug  14, 2022","[""'Hentai'""]",Shoujo,Comic ExE,"[""'Miyamoto,Issa'""]",2018-12-31,2022-08-14,0,0,0,0
Hana to Ryuu,7.29,587,4881,13175,1285,10,Doujinshi,5,23,Finished,"Aug  16, 1993 to Mar  14, 2010","[""'Boys Love'"", ""'Drama'"", ""'Erotica'""]",Seinen,Manga Time Family,"[""'Kodaka,Kazuma'""]",1993-08-16,2010-03-14,1,1,0,0
Mine-kun wa Non-Sexual (Mine-kun is Asexual),7.28,563,4976,10514,1747,12,Doujinshi,1,2,Finished,"Nov  24, 2019","[""'Romance'""]",Shoujo,Galette,"[""'Isaki,Uta'""]",2019-11-24,2019-11-24,4,3,1,0
Ii Fuufu no Hanashi,7.28,1354,4973,3939,5525,25,Doujinshi,1,2,Publishing,"May  4, 2020 to ?","[""'Comedy'"", ""'Romance'"", ""'Slice of Life'""]",Shoujo,Badi,"[""'Saisou'""]",2020-05-04,Updating,0,0,0,0
Enjo Kouhai (Aid Mating),7.28,158,4974,17272,858,28,Doujinshi,1,2,Publishing,"Dec  31, 2016 to ?","[""'Fantasy'"", ""'Hentai'"", ""'Harem'"", ""'Mythology'""]",Shoujo,Comic Valkyrie,"[""'Takunomi'""]",2016-12-31,Updating,0,0,0,0
La Satanica dj - Fluffy Thing,7.28,516,4975,16781,898,1,Doujinshi,1,1,Finished,2011,"[""'Boys Love'"", ""'Erotica'""]",Seinen,Badi,"[""'Tenzen,Momoko'""]",2011-01-01,2011-01-01,0,0,0,0
Gachinko Battle!!,7.27,520,4976,15785,987,3,Doujinshi,1,2,Finished,"Mar  31, 2013","[""'Boys Love'"", ""'Erotica'""]",Seinen,Magazine Cyberia,"[""'Itto'""]",2013-03-31,2013-03-31,1,1,0,0
Gravitation dj - Gravitation Remix,7.27,1075,4977,8748,2211,10,Doujinshi,1,12,Finished,1996,"[""'Boys Love'"", ""'Erotica'""]",Seinen,Manga Time Jumbo,"[""'Murakami,Maki'""]",1996-01-01,1996-01-01,1,1,0,0
Iribitari Gal ni Ma〇ko Tsukawasete Morau Hanashi (Drop-in Gyaru Lets Me Use Her Pussy),7.26,309,4978,16169,953,11,Doujinshi,1,2,Finished,"Dec  31, 2022 to ?","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Manno'""]",2022-12-31,Updating,0,0,0,0
Mayoiga no Oneesan,7.26,320,4979,13791,1205,12,Doujinshi,3,2,Finished,"Dec  31, 2015 to Dec  31, 2017","[""'Hentai'""]",Shoujo,Comic ExE,"[""'Mikemono,Yuu'""]",2015-12-31,2017-12-31,0,0,0,0
Poor Poor Lips dj - Berry Berry Berry A,7.26,421,4980,17188,865,1,Doujinshi,1,2,Finished,"May  5, 2013","[""'Girls Love'"", ""'Romance'"", ""'Erotica'""]",Shoujo,drap,"[""'Gotou,Hayako'""]",2013-05-05,2013-05-05,0,0,0,0
Oni no Oyako wa Hito no Osu to Kozukuri ga Shitai (Mating With Oni),7.25,514,4981,11500,1549,14,Doujinshi,3,2,Finished,"Aug  14, 2016 to Aug  13, 2017","[""'Fantasy'"", ""'Hentai'"", ""'Harem'"", ""'Mythology'""]",Shoujo,Galette,"[""'Shindou'""]",2016-08-14,2017-08-13,0,0,0,0
Mousou Elektel dj - Gosou-teki Mannerism,7.25,374,4982,16572,917,0,Doujinshi,2,2,Finished,"Aug  12, 2016 to Dec  30, 2016","[""'Boys Love'"", ""'Comedy'"", ""'Romance'"", ""'Erotica'""]",Seinen,Galette,"[""'Nekota,Yonezou'""]",2016-08-12,2016-12-30,0,0,0,0
Goshujinsama to Watashi,7.25,824,5325,9984,1859,14,Doujinshi,1,2,Finished,"Aug  16, 2015","[""'Comedy'"", ""'Fantasy'"", ""'Girls Love'"", ""'Slice of Life'""]",Shoujo,Galette meets,"[""'Itou,Hachi'""]",2015-08-16,2015-08-16,0,0,0,0
Under (xGround) Grand Hotel dj - Honeymoon,7.25,708,5326,13011,1307,3,Doujinshi,1,1,Finished,"Feb  9, 2003","[""'Boys Love'"", ""'Drama'"", ""'Romance'"", ""'Erotica'""]",Shoujo,Comic ExE,"[""'Sadahiro,Mika'""]",2003-02-09,2003-02-09,0,0,0,0
Watashi no Kawaii Koneko-chan (My Cute Little Kitten),7.24,738,5509,6593,3125,10,Doujinshi,1,2,Publishing,"May  6, 2017 to ?","[""'Girls Love'"", ""'Adult Cast'""]",Shoujo,Galette,"[""'Morinaga,Milk'""]",2017-05-06,Updating,0,0,0,0
Gravitation dj - Megamix Gravitation,7.24,1038,5510,8440,2319,18,Doujinshi,1,2,Publishing,"Feb  25, 2006 to ?","[""'Boys Love'"", ""'Erotica'""]",Seinen,Galette meets,"[""'Murakami,Maki'""]",2006-02-25,Updating,3,1,0,2
Watashi no Angela,7.23,361,5578,16926,887,8,Doujinshi,1,3,Finished,Jun  2020,"[""'Drama'"", ""'Girls Love'"", ""'Supernatural'""]",Seinen,Manga Time Family,"[""'Shinoa'""]",2020-06-01,2020-06-01,1,0,1,0
Negative Yuusha to Maou-gun Kanbu,7.23,1281,5533,4469,4824,33,Doujinshi,1,2,Publishing,"Dec  29, 2018 to ?","[""'Comedy'"", ""'Fantasy'"", ""'Slice of Life'""]",Seinen,Reijin,"[""'Hama-chon'""]",2018-12-29,Updating,2,1,1,0
Saimin Seishidou (Hypnotic Sexual Counseling),7.23,658,5534,8738,2213,38,Doujinshi,1,2,Publishing,"Aug  14, 2016 to ?","[""'Hentai'""]",Seinen,Reijin,"[""'Aiue,Oka'""]",2016-08-14,Updating,0,0,0,0
Oyasumi Sex,7.23,641,5535,10824,1677,25,Doujinshi,1,7,Finished,"May  5, 2014 to Aug  16, 2015","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Mikami,Mika'""]",2014-05-05,2015-08-16,0,0,0,0
Kanojo no Kuchizuke,7.23,540,5583,10109,1836,17,Doujinshi,1,2,Publishing,"Feb  1, 2015 to ?","[""'Girls Love'""]",Shoujo,Manga Time Jumbo,"[""'Yorita,Miyuki'""]",2015-02-01,Updating,2,1,1,0
●Rec,7.23,4946,5605,2859,7607,57,Doujinshi,1,2,Finished,"May  5, 2014","[""'Drama'""]",Seinen,Galette meets,"[""'Mizu,Asato'""]",2014-05-05,2014-05-05,9,9,0,0
Kaname,7.23,321,5606,15453,1022,32,Doujinshi,1,2,Publishing,"Apr  28, 2013 to ?","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'"", ""'Crossdressing'"", ""'Historical'""]",Seinen,Comic ExE,"[""'locon'""]",2013-04-28,Updating,2,2,0,0
Old Home no Haibane-tachi (The Haibanes of Old Home),7.23,1681,5638,3961,5495,57,Doujinshi,2,2,Finished,"Aug  12, 2001 to Dec  30, 2001","[""'Drama'"", ""'Supernatural'""]",Seinen,Manga Time Family,"[""'ABe,Yoshitoshi'""]",2001-08-12,2001-12-30,0,0,0,0
Yarichin☆Bitch-bu dj - Wa!,7.22,2987,5639,2995,7256,61,Doujinshi,1,2,Finished,"May  4, 2015","[""'Boys Love'"", ""'Erotica'""]",Seinen,Comic ExE,"[""'Ogeretsu,Tanaka'""]",2015-05-04,2015-05-04,1,0,1,0
Victim Girls R,7.22,675,5640,9187,2074,44,Doujinshi,1,2,Publishing,"Dec  30, 2014 to ?","[""'Hentai'""]",Shoujo,Manga Time Family,"[""'Asanagi'""]",2014-12-30,Updating,1,1,0,0
Rules dj -  (Song Birds),7.22,409,5641,18370,777,0,Doujinshi,1,1,Finished,2007,"[""'Boys Love'"", ""'Erotica'""]",Seinen,Galette meets,"[""'Miyamoto,Kano'""]",2007-01-01,2007-01-01,0,0,0,0
Tasogare Out Focus dj - Koi-iro Soft Focus,7.21,534,5642,15160,1049,0,Doujinshi,1,2,Finished,"Aug  10, 2019","[""'Boys Love'"", ""'Erotica'"", ""'School'""]",Shoujo,Reijin,"[""'Janome'""]",2019-08-10,2019-08-10,0,0,0,0
Uchi no Kaisha no Chiisai Senpai no Hanashi,7.21,1165,5802,3965,5490,34,Doujinshi,1,2,Publishing,"Dec  30, 2019 to ?","[""'Comedy'"", ""'Romance'"", ""'Adult Cast'"", ""'Workplace'""]",Seinen,Manga Time Family,"[""'Saisou'""]",2019-12-30,Updating,0,0,0,0
Meteor Methuselah: Kanzen Kouryakubon,7.21,404,5840,14929,1074,4,Doujinshi,1,3,Finished,"Aug  16, 2009","[""'Comedy'"", ""'Romance'""]",Shoujo,Magazine Cyberia,"[""'Ozaki,Kaori'""]",2009-08-16,2009-08-16,0,0,0,0
Hydra dj - Sono Mae no Hibi (Hydra dj - The Days Before),7.21,284,5839,22094,567,1,Doujinshi,1,1,Finished,"Aug  16, 2009","[""'Boys Love'""]",Seinen,Reijin,"[""'Miyamoto,Kano'""]",2009-08-16,2009-08-16,0,0,0,0
Under (xGround) Grand Hotel dj,7.21,630,5840,13862,1196,1,Doujinshi,1,1,Finished,2001,"[""'Boys Love'"", ""'Erotica'""]",Shoujo,Reijin,"[""'Sadahiro,Mika'""]",2001-01-01,2001-01-01,0,0,0,0
Oshi no Bishoujo ni Kokuhaku sareru Hanashi,7.2,203,5907,18491,768,1,Doujinshi,1,2,Publishing,"Oct  31, 2023 to ?","[""'Comedy'"", ""'Girls Love'"", ""'School'""]",Shoujo,Magazine Cyberia,"[""'Suisei,Choco'""]",2023-10-31,Updating,0,0,0,0
