Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Pension Life Vampire (The Pension Life Vampire),6.49,759,16319,9987,"1,855",3,4,26,Finished,"Apr  1, 2023 to Mar  16, 2024","['Comedy', 'Supernatural']",[],"Taguchi, Shouichi (Story & Art)",2,"[2, 0, 0]"
Isekai ni Teni shitara Yama no Naka datta. Handou de Tsuyosa yori mo Kaitekisa wo Erabimashita.,6.48,422,16320,10521,"1,743",1,Unknown,Unknown,Publishing,"Mar  25, 2021 to ?","['Adventure', 'Fantasy', 'Slice of Life']",[],"Jaga Butter (Story), Tsutaya, Sora (Art)",3,"[2, 1, 0]"
Happy Vaas Day,6.48,149,16321,32310,257,4,Unknown,1,Finished,"Apr  13, 2021",[],[],"Nagase, Hiromu (Story & Art)",0,"[0, 0, 0]"
Gorin no Megami-sama: Nadeshiko-ryou no Medal Gohan,6.48,164,16322,16798,896,4,Unknown,Unknown,Publishing,"Oct  23, 2021 to ?","['Comedy', 'Sports']","['Harem', 'School']","Kinami, Yuka (Story & Art)",0,"[0, 0, 0]"
Boku wa Oniku ja Nai (I'm Not Meat),6.48,121,16323,28306,348,2,3,14,Finished,"Jul  27, 2020 to Sep  27, 2021",[],[],"Itou, Ikkado (Story & Art)",2,"[0, 1, 1]"
Keikenchi Chochiku de Nonbiri Shoushin Ryokou: Yuusha to Koibito ni Tsuihou sareta Senshi no Mujikaku Zamaa,6.48,1415,16324,3975,"5,473",24,Unknown,Unknown,Publishing,"Mar  5, 2021 to ?","['Action', 'Adventure', 'Fantasy']",[],"Tokugawa, Lemon (Story), Kanata, Yoshiki (Art)",4,"[2, 1, 1]"
Kawaii kara Giri Yuruseru (I'm Cute Enough to Get Away with It!),6.48,259,16325,20232,661,1,3,24,Finished,"Aug  14, 2021 to Aug  13, 2022","['Comedy', 'Romance', 'Ecchi']","['Crossdressing', 'School']","Mocoyama, Jin (Story & Art)",0,"[0, 0, 0]"
The Rebirth of a Tyrannical Empress,6.48,831,16326,6891,"2,972",7,Unknown,149,Finished,"Aug  13, 2020 to Mar  1, 2023","['Drama', 'Fantasy']","['Isekai', 'Villainess']","Miraenavi (Story), Sanyang (Art)",0,"[0, 0, 0]"
Ookami ni Naritai,6.48,333,16327,21008,620,1,Unknown,1,Finished,"Apr  13, 2020",[],[],"Yokoyari, Mengo (Story & Art)",0,"[0, 0, 0]"
The Final Raid Boss,6.48,309,16328,15587,"1,006",2,Unknown,114,Finished,"Nov  9, 2021 to Sep  10, 2023","['Action', 'Fantasy']",[],"Kim, Janghun (Story), Ha, Seongshin (Art)",0,"[0, 0, 0]"
See No Evil,6.48,211,16329,23115,520,2,Unknown,45,Finished,"Jan  25, 2021 to Nov  8, 2021",[],[],"Gwangtanto (Story), Maduru (Art)",0,"[0, 0, 0]"
Shadow,6.48,118,16330,32713,250,0,Unknown,12,Finished,"May  4, 2014 to Jul  20, 2014",[],[],"Haejin (Art), Yunuji (Story)",0,"[0, 0, 0]"
Ura Kyoto (Shadows of Kyoto),6.48,146,16331,31721,269,3,1,4,Finished,"Aug  7, 2020 to Nov  6, 2020","['Horror', 'Supernatural']",[],Yumeya (Story & Art),0,"[0, 0, 0]"
Foreigner on the Periphery,6.48,163,16332,17189,863,0,Unknown,18,Discontinued,"Sep  28, 2021 to Dec  23, 2021","['Action', 'Fantasy']",[],"Frost (Story), Bukguk Neoguri (Art)",0,"[0, 0, 0]"
Houkago no Dungeon Diver: Nihon to Isekai wo Ikiki Dekiru You ni Natta Boku wa Level Up ni Isoshimimasu,6.48,150,16333,17769,819,0,Unknown,Unknown,Publishing,"Sep  1, 2022 to ?","['Adventure', 'Fantasy']",[],"Hitsuji, Gamei (Story), Abi (Art)",1,"[0, 1, 0]"
The Handmade Tales of the Handmaid,6.48,137,16334,22035,569,1,Unknown,85,Finished,"Sep  26, 2021 to Dec  25, 2022",[],"['Isekai', 'Reincarnation']","Seoglyu Soup (Story), Nyan (Art)",0,"[0, 0, 0]"
Ore no Kimochi wa...: Osananajimi Triangle,6.48,143,16335,32227,258,0,Unknown,1,Finished,"Aug  12, 2022",[],[],"Yatsu, Taa (Story & Art)",2,"[1, 0, 1]"
Netoge no Yome ga Ninki Idol datta: Cool-kei no Kanojo wa Genjitsu demo Yome no Tsumori de Iru (My Wife in the Web Game Is a Popular Idol.),6.48,1268,16336,3935,"5,526",24,Unknown,Unknown,Publishing,"Dec  2, 2022 to ?","['Comedy', 'Romance']",[],"Abone (Story), Mottso (Art)",4,"[2, 0, 2]"
#Project AC,6.48,112,16337,33862,231,0,Unknown,1,Finished,"Jul  9, 2021",[],"['School', 'Visual Arts']","Kitada, Ryouma (Story & Art)",1,"[1, 0, 0]"
Jishou Kanojo no Kouhai ga Iiyottekuru.,6.48,1026,16338,8974,"2,140",3,Unknown,1,"Love Status Quo

                Love Status Quo,                    School

                School","Feb  6, 2023",[],[],"Manten, Bei (Story & Art)",0,"[0, 0, 0]"
Yuurei ni Natta kara Pantsu Misetemo Barenai yo ne!?,6.48,362,16339,17031,876,2,2,28,"Love Status Quo

                Love Status Quo,                    School

                School","Nov  6, 2020 to Nov  26, 2021","['Comedy', 'Supernatural']",[],Yutoriinu (Story & Art),1,"[1, 0, 0]"
"Ore ni Trauma wo Ataeta Joshi-tachi ga Chirachira Mitekuru kedo, Zannen desu ga Teokure desu (The Girls Who Traumatized Me Keep Glancing at Me, but Alas, It's Too Late.)",6.48,536,16340,8707,"2,221",21,Unknown,Unknown,Publishing,"May  19, 2023 to ?",[],[],"Ichitaka (Art), Midou, Yuragi (Story)",6,"[3, 0, 3]"
As If Love Doesn't Exist,6.48,127,16341,26256,408,1,Unknown,Unknown,Publishing,"Jan  21, 2023 to ?","['Drama', 'Romance']",[],"carbo (Story), Kim, Haedam (Art)",1,"[0, 0, 1]"
"Moto Kyuutei Renkinjutsushi no Watashi, Henkyou de Nonbiri Ryouchi Kaitaku Hajimemasu!: Konyaku Haki ni Tsuihou made Set deshite Kureru ndesu ka?",6.48,136,16342,19429,709,0,Unknown,Unknown,Publishing,"Feb  4, 2023 to ?",[],[],"Hinokage, Sora (Story), Takahashi, Tsutsuji (Art)",0,"[0, 0, 0]"
Destronaut,6.48,121,16343,32932,246,1,Unknown,1,Finished,"Apr  19, 2021","['Action', 'Sci-Fi']","['Samurai', 'Space']",KENT (Story & Art),1,"[1, 0, 0]"
Otonari Voice Chat,6.48,205,16344,18643,758,0,4,28,Finished,"Jul  19, 2014 to Dec  19, 2016","['Comedy', 'Romance']",[],"Kojima, Naonari (Story & Art)",1,"[0, 1, 0]"
Doodooma,6.48,153,16345,26602,397,1,3,14,Finished,"Oct  25, 2014 to Dec  25, 2015","['Action', 'Drama', 'Fantasy']",[],"Shiraishi, Jun (Story & Art)",0,"[0, 0, 0]"
Tomoji,6.48,303,16346,19491,705,0,1,6,Finished,2012 to  2013,"['Drama', 'Slice of Life']",[],"Taniguchi, Jiro (Art), Ogihara, Miwako (Story)",0,"[0, 0, 0]"
Chou Kochikame,6.48,246,16347,15310,"1,034",3,1,5,Finished,"Sep  15, 2006",[],"['Gag Humor', 'Parody']","Toriyama, Akira (Story & Art), Yudetamago (Story & Art), Akimoto, Osamu (Story & Art), Monkey Punch (Story & Art), Saitou, Takao (Story & Art), Sawai, Yoshio (Story & Art), Usuta, Kyousuke (Story & Art), Ooishi, Kouji (Story & Art), Dai, Amon (Story & Art)",0,"[0, 0, 0]"
Arikai Annu,6.48,171,16348,29750,311,0,Unknown,1,Finished,"Apr  25, 2015","['Action', 'Sci-Fi']",[],"Fuzuki, Takahiro (Story & Art)",0,"[0, 0, 0]"
Uchuu Patrol Luluco (Space Patrol Luluco),6.48,230,16349,17555,835,6,Unknown,3,Finished,"Apr  19, 2016 to Jun  18, 2016","['Comedy', 'Sci-Fi']",[],Nanboku (Art),1,"[1, 0, 0]"
Sweet Bitter Room,6.48,240,16350,21342,604,0,1,5,Finished,"Nov  14, 2015 to Sep  15, 2016",[],[],"Ichikawa, Shou (Story & Art)",0,"[0, 0, 0]"
Musubenai Necktie,6.48,389,16351,18918,742,0,Unknown,1,Finished,"Aug  19, 2010",[],[],"Tagura, Tohru (Story & Art)",0,"[0, 0, 0]"
Koi no Torikata,6.48,142,16352,22283,557,0,2,15,Finished,"May  27, 2017 to Sep  27, 2018","['Comedy', 'Romance']",[],"Tana, Kanoka (Story & Art)",1,"[0, 1, 0]"
"Sayonara Peter Pan (Bye-bye, Peter Pan)",6.48,921,16353,7040,"2,887",15,3,18,Finished,"Apr  8, 2017 to Oct  6, 2018",[],[],"Sakano, Anri (Story & Art)",1,"[1, 0, 0]"
Futatsu no Rasen (Two Spirals),6.48,122,16354,32193,259,0,Unknown,3,Finished,"Jan  25, 2017 to May  25, 2017",[],[],match (Story & Art),0,"[0, 0, 0]"
Sword Art Online dj - Pina Edition,6.48,407,16355,11990,"1,454",12,1,2,Finished,"May  6, 2013",[],[],"Kawahara, Reki (Story), ponz (Art)",0,"[0, 0, 0]"
Kirakira no Natsu,6.48,178,16356,27420,373,0,1,5,Finished,"Feb  23, 2013",[],[],"Sasada, Asuka (Story & Art)",0,"[0, 0, 0]"
"Black Jack no Yuuwaku (Bought For Revenge, Bedded For Pleasure)",6.48,370,16357,19017,735,0,1,5,Finished,"Aug  11, 2010",[],[],"Ichiju, Yuko (Art), Darcy, Emma (Story)",0,"[0, 0, 0]"
Ookami Kyoudai to Akazukin-chan,6.48,207,16358,26681,395,0,Unknown,1,Finished,"Oct  2, 2013","['Comedy', 'Fantasy']",[],"Hachijou, Arata (Story & Art)",1,"[0, 1, 0]"
Uncanny Brains,6.48,317,16359,16865,889,8,2,13,Finished,"Apr  19, 2013 to May  19, 2014","['Action', 'Sci-Fi']",[],"Ninagawa, Yaeko (Art), Isshiki, Masahiro (Story)",0,"[0, 0, 0]"
Mouretsu Pirates: Abyss of Hyperspace (Bodacious Space Pirates: Abyss of Hyperspace),6.48,106,16360,23257,514,0,2,10,Finished,"Dec  27, 2013 to Sep  27, 2014","['Adventure', 'Sci-Fi']",[],"Satou, Tatsuo (Story), Chibimaru (Art)",0,"[0, 0, 0]"
Mazinger Otome Taisen,6.48,119,16361,31480,273,1,1,7,Finished,"Mar  23, 2011","['Comedy', 'Ecchi']",[],"Nagai, Go (Story), Tachibana, Mikio (Art)",0,"[0, 0, 0]"
Mousou Meets Girl,6.48,165,16362,29591,315,0,Unknown,1,Finished,"Oct  1, 2012","['Comedy', 'Romance']",[],"Satou, Mito (Story & Art)",0,"[0, 0, 0]"
Kegare no Uta (The Poetry of Ran),6.48,174,16363,19967,677,2,2,10,Finished,"Sep  25, 2017 to Dec  26, 2019","['Action', 'Drama', 'Fantasy', 'Supernatural']",[],"Oosawa, Yuusuke (Story & Art)",0,"[0, 0, 0]"
Majo wa Mioji kara (The life of the witch who remains single for about 300 years!),6.48,922,16364,5615,"3,739",4,7,49,Finished,"Jan  4, 2018 to May  22, 2020","['Comedy', 'Fantasy', 'Romance']",[],"Harada, Shigemitsu (Story), Matsumoto, Kyuujo (Art)",0,"[0, 0, 0]"
"Siscon Oneechan to Kinishinai Imouto (Her Elder Sister Has A Crush On Her, But She Doesn't Mind)",6.48,1070,16365,7567,"2,639",14,3,26,Finished,"Jul  28, 2018 to Oct  27, 2020","['Comedy', 'Girls Love']",[],"Kiribai, Kineso (Story & Art)",0,"[0, 0, 0]"
Sokuochi Mayuri-chan,6.48,3825,16366,2098,"9,987",43,1,27,Finished,"Apr  25, 2019 to Apr  9, 2020","['Comedy', 'Romance', 'Slice of Life', 'Ecchi']",[],Salpin (Story & Art),3,"[1, 1, 1]"
"Kyou, Koshiba Aoi ni Aetara. (Chasing After Aoi Koshiba)",6.48,889,16367,5383,"3,939",18,4,34,Finished,"Nov  27, 2018 to Mar  26, 2022","['Drama', 'Girls Love']",[],"Takeoka, Hazuki (Story), Fly (Art)",3,"[0, 1, 2]"
Sekai ni Hitotsu dake no R,6.48,349,16368,15217,"1,043",3,3,20,Finished,"Jun  15, 2019 to Nov  5, 2021","['Comedy', 'Fantasy']",[],"Iijima, Shingou (Story & Art)",0,"[0, 0, 0]"
"Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS-Rank Datta to Iu Yoku Aru Hanashi (The Unaware Atelier Master)",6.48,1056,16369,5287,"4,011",10,Unknown,Unknown,Publishing,"Dec  17, 2019 to ?","['Action', 'Adventure', 'Fantasy']",[],"Tokino, Yousuke (Story), Furukawa, Naharu (Art)",3,"[1, 0, 2]"
Secret Reverse,6.48,159,16370,27386,374,1,1,2,Finished,"Sep  4, 2019 to Nov  27, 2019",[],"['Strategy Game', 'Super Power']","Takahashi, Kazuki (Story & Art)",1,"[0, 1, 0]"
Kinka 1-mai de Kawaru Boukensha Seikatsu (How a Single Gold Coin Can Change an Adventurer's Life),6.48,325,16371,12451,"1,383",0,7,36,Finished,"Jan  26, 2020 to Jul  30, 2023","['Action', 'Adventure', 'Fantasy']",[],"Amano, Hazama (Story), Tsukishima, Sato (Art)",1,"[0, 0, 1]"
Frontier Diary: Motokizoku no Isekai Henkyou Seikatsu Nikki,6.48,422,16372,12185,"1,425",1,3,17,Finished,"Mar  15, 2019 to Nov  13, 2020","['Adventure', 'Fantasy']",[],"Kinojou, Miya (Story), Abe, Hanajirou (Art)",0,"[0, 0, 0]"
Tokimeki no Ikenie,6.48,478,16373,13221,"1,278",4,3,18,Finished,"Jan  15, 2020 to Sep  1, 2021","['Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural']",[],"Uguisu, Sachiko (Story & Art)",2,"[1, 0, 1]"
Zombie Shoujo no Fujimi-san,6.48,813,16374,10069,"1,841",2,2,12,Finished,"Apr  16, 2020 to Apr  16, 2021","['Comedy', 'Romance', 'Supernatural']",[],"Saitou, Ryou (Story & Art)",1,"[1, 0, 0]"
Renai Keikenchi Zero no Otome-san: Koibito Inai Reki = Nenrei no Onna Kyoushi ga Kodomo Atsukai shitekita Toshi no Hanareta Osananajimi no Seito wo Ishiki shiteshimau Hanashi,6.48,107,16375,21072,617,1,Unknown,Unknown,Publishing,"Feb  21, 2020 to ?","['Comedy', 'Romance']",[],"Yuuji, Kouji (Story & Art)",0,"[0, 0, 0]"
Misetagari no Tsuyuno-chan (Tsuyuno-chan Likes to Show Off),6.48,1186,16376,4545,"4,723",46,5,41,Finished,"Feb  21, 2020 to Jul  21, 2023","['Comedy', 'Ecchi']",[],"Furumoto, Takeru (Story & Art)",3,"[2, 1, 0]"
"Maou no Musume, Sugoku Choroi.",6.48,884,16377,5333,"3,981",4,Unknown,Unknown,Publishing,"Jun  16, 2020 to ?","['Comedy', 'Fantasy']",[],"Chiaki, Tarou (Story & Art)",2,"[0, 1, 1]"
Takane no Hana-san,6.48,182,16378,13768,"1,207",4,Unknown,Unknown,Publishing,"Aug  3, 2018 to ?","['Comedy', 'Romance']",[],"Murata, Kouji (Story & Art)",1,"[0, 1, 0]"
"Pocchari Kanojo to Sweets Kareshi: Anata to Toro-Ama Sexercise (A Chubby Girlfriend and Her Sweet-Toothed Boyfriend: Soft, Syrupy Exercise With You)",6.48,132,16379,24746,457,2,1,6,Finished,"Mar  18, 2017 to Nov  20, 2017",[],[],Mika (Story & Art),0,"[0, 0, 0]"
The End (Dead End),6.48,631,16380,8186,"2,404",14,4,20,Finished,"Feb  24, 2001 to Sep  25, 2002","['Action', 'Drama', 'Horror']",[],"Manabe, Shohei (Story & Art)",1,"[1, 0, 0]"
Yamato Gensouki,6.48,674,16381,11196,"1,605",2,2,17,Finished,"Feb  16, 1999 to Jun  15, 1999","['Action', 'Adventure', 'Fantasy']",[],"Yabuki, Kentarou (Story & Art)",0,"[0, 0, 0]"
Peridot,6.48,870,16382,9346,"2,027",6,6,50,Finished,1999 to ?,"['Action', 'Drama', 'Romance', 'Ecchi']",[],"Kobayashi, Hiyoko (Story & Art)",1,"[1, 0, 0]"
Last Target,6.48,322,16383,20423,652,0,1,4,Finished,2001 to ?,[],[],"Mamahara, Ellie (Art), Ikedo, Yuko (Story)",0,"[0, 0, 0]"
I Want You,6.48,394,16384,17657,828,1,1,6,Finished,Jan  2003,[],[],"Won, Soo-yeon (Story & Art)",1,"[1, 0, 0]"
Taiyou Ouji,6.48,268,16385,19195,724,1,2,12,Finished,2002 to  2003,[],[],"Anisaki, Yuna (Story & Art)",0,"[0, 0, 0]"
Extra Heavy Syrup,6.48,290,16386,21818,579,0,1,3,Finished,2003 to ?,"['Comedy', 'Romance']",[],"Ogawa, Yayoi (Story & Art)",0,"[0, 0, 0]"
Lamp no Ousama (King of the Lamp),6.48,354,16387,20040,673,1,1,5,Finished,2004,"['Romance', 'Supernatural']",[],"Shigematsu, Takako (Story & Art)",0,"[0, 0, 0]"
Taboo ni Daite (Embrace Me in TABOO - Mayu-tan's),6.48,469,16388,15676,998,2,1,6,Finished,1994,"['Drama', 'Romance']",[],"Shinjou, Mayu (Story & Art)",0,"[0, 0, 0]"
Ramen Ikaga!? (How About Some Ramen!?),6.48,174,16389,27915,359,2,1,4,Finished,1997,"['Boys Love', 'Comedy', 'Fantasy']",[],"Higuri, You (Story & Art)",0,"[0, 0, 0]"
Bocchama wa Ijiwaru,6.48,359,16390,16447,928,5,5,22,Finished,"Jan  24, 2002 to Sep  24, 2003","['Drama', 'Romance']",[],"Hasebe, Yuri (Story & Art)",0,"[0, 0, 0]"
Mato-chan,6.48,223,16391,24631,462,4,1,15,Finished,"Jan  17, 2004 to Nov  9, 2006",[],[],"Yuuki, Shinichi (Story & Art)",2,"[2, 0, 0]"
Loving a Player,6.48,193,16392,28883,334,0,Unknown,1,Finished,Not available,[],[],"Itsumi, Mitsu (Story & Art)",0,"[0, 0, 0]"
Fukigen na Aibu,6.48,256,16393,23347,511,0,1,4,Finished,2001,[],[],"Kitagawa, Miyuki (Story & Art)",0,"[0, 0, 0]"
Koko ni Iru Suiren (Suiren is Here),6.48,293,16394,20425,652,2,1,3,Finished,2002,"['Action', 'Drama', 'Sci-Fi']",[],"Moriyama, Daisuke (Story & Art)",0,"[0, 0, 0]"
Shinjou Mayu: The Best Selection,6.48,113,16395,26133,412,1,2,11,Finished,2007 to  2009,"['Drama', 'Romance']",[],"Shinjou, Mayu (Story & Art)",0,"[0, 0, 0]"
Oretachi ni Ai wa Nai,6.48,589,16396,14218,"1,153",0,1,4,Finished,2007,[],[],"Hinachi, Nao (Story & Art)",2,"[1, 0, 1]"
Dokuro,6.48,489,16397,12531,"1,373",3,4,33,Finished,2004,"['Action', 'Drama']","['Martial Arts', 'Psychological']","Saruwatari, Tetsuya (Story & Art)",2,"[0, 1, 1]"
Tenjou no Shita,6.48,121,16398,25154,444,0,1,Unknown,Finished,1999,"['Drama', 'Girls Love']",[],"Minami, Q-ta (Story & Art)",0,"[0, 0, 0]"
Yama ni Sumu Kami,6.48,114,16399,30738,288,0,1,5,Finished,Jul  2000,"['Drama', 'Fantasy', 'Romance', 'Supernatural']",[],"Sumeragi, Natsuki (Story & Art)",0,"[0, 0, 0]"
Sanjin Sadou,6.48,396,16400,15464,"1,019",1,2,21,Finished,"Sep  30, 2002 to May  29, 2004",[],[],"Mizukami, Satoshi (Story & Art)",1,"[1, 0, 0]"
Anata wo Ajiwaitai,6.48,527,16401,14935,"1,071",0,1,5,Finished,2009,[],[],"Kamijou, Erina (Story & Art)",0,"[0, 0, 0]"
Biyaku Iri no Cappuccino,6.48,108,16402,27698,365,1,1,6,Finished,"Mar  14, 2008",[],[],"Kotokawa, Aya (Story & Art)",0,"[0, 0, 0]"
Mousou Honey,6.48,570,16403,14339,"1,137",2,1,4,Finished,"Jan  18, 2010 to Nov  18, 2010","['Comedy', 'Girls Love']",[],"Mikuni, Hajime (Story & Art)",0,"[0, 0, 0]"
Boku no Idol,6.48,1275,16404,8870,"2,171",2,Unknown,1,Finished,"Apr  26, 2010",[],[],"Kawashita, Mizuki (Story & Art)",1,"[1, 0, 0]"
Angel Onayami Soudanjo,6.48,590,16405,12717,"1,346",0,1,13,Finished,"Aug  7, 2004 to Aug  4, 2006","['Comedy', 'Fantasy']",[],"Mizukami, Satoshi (Story & Art)",1,"[1, 0, 0]"
Shurayuki-hime Gaiden,6.48,384,16406,14308,"1,140",0,1,5,Finished,Dec  2006 to Dec  2007,[],"['Historical', 'Martial Arts']","Ikegami, Ryouichi (Art), Koike, Kazuo (Story)",2,"[1, 1, 0]"
17-sai.,6.48,3386,16407,2792,"7,784",30,4,35,Finished,2004 to  2005,[],[],"Kamata, Youji (Art), Fuji, Seiji (Story)",10,"[5, 4, 1]"
Andalusia no Yuuwaku (The Spaniard's Woman),6.48,225,16408,26380,404,0,1,2,Finished,"May  1, 2007",[],[],"Ayabe, Mizuho (Art), Hamilton, Diana (Story)",0,"[0, 0, 0]"
Kuroi Ame ni Utarete,6.48,174,16409,24263,476,0,1,8,Finished,1966,[],[],"Nakazawa, Keiji (Story & Art)",1,"[1, 0, 0]"
Cerberus Jam,6.48,610,16410,11658,"1,514",5,1,4,Finished,"Sep  17, 2011 to Dec  17, 2011",[],[],"Shiota, Haruto (Story & Art)",1,"[1, 0, 0]"
Tsubakikan no Utsukushi Sugiru Garçon,6.48,543,16411,11784,"1,491",0,2,10,Finished,"Oct  14, 2010 to May  10, 2012",[],[],"Yuuki, Riko (Story & Art)",1,"[0, 0, 1]"
Otomodachi kara Hajimemashou.,6.48,440,16412,13218,"1,278",1,2,14,Finished,"Jul  16, 2012 to Jan  16, 2015","['Drama', 'Romance']",[],"Otsu, Hiyori (Story & Art)",1,"[1, 0, 0]"
Mahou ga Toketa Asa ni,6.48,157,16413,30586,292,0,1,5,Finished,Not available,[],[],"Asou, Ayumu (Art), James, Julia (Story)",0,"[0, 0, 0]"
Hana no Miyako!,6.48,342,16414,12122,"1,434",6,3,19,Finished,"Nov  26, 2012 to May  26, 2014","['Action', 'Comedy']",[],"Kirishima, Takeru (Story & Art), Type-Moon (Story)",0,"[0, 0, 0]"
Shigatsu no Hina,6.48,480,16415,17176,865,0,Unknown,1,Finished,"Mar  13, 2009","['Comedy', 'Romance']",[],"Touda, Yoshimi (Story & Art)",0,"[0, 0, 0]"
Kiyomizu Iroha wa Koi wo Shiranai,6.48,495,16416,16971,881,1,Unknown,1,Finished,"Feb  19, 2013","['Romance', 'Slice of Life']",[],"Yoshida, Morohe (Story & Art)",0,"[0, 0, 0]"
Garden,6.47,823,16417,7919,"2,498",18,1,7,Finished,1993 to Jan  2000,"['Avant Garde', 'Fantasy', 'Horror']",[],"Furuya, Usamaru (Story & Art)",4,"[3, 0, 1]"
Gelatin,6.47,447,16418,8718,"2,218",1,9,Unknown,Finished,"Feb  4, 2009 to Mar  31, 2011","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Ecchi']","['Mecha', 'School']","Moriyama, Daisuke (Story & Art), Yoshizuki, Kumichi (Story & Art), Shimura, Takako (Story & Art), Gokurakuin, Sakurako (Story & Art), Suzumi, Atsushi (Story & Art), Yasuda, Suzuhito (Story & Art), KEI (Story & Art), Nanakusa (Story & Art), Hamayumiba, Sou (Story & Art), Wamusato, Haru (Story & Art), MATSUDA98 (Story & Art), Shimizu, Eiichi (Story), Hamamoto, Ryuusuke (Story & Art), Sabe (Story & Art), Miggy (Story & Art), Houden, Eizou (Story & Art), Ayakura, Juu (Story & Art), Bosshi (Story & Art), Shimoguchi, Tomohiro (Art), Uki, Atsuya (Story & Art), VOFAN (Story & Art), Zekkyou (Story & Art), Yamamoto, Yamato (Story & Art), huke (Story & Art), BUNBUN (Story & Art), Kishida, Mel (Art), Takamichi (Story & Art)",0,"[0, 0, 0]"
Gekijouban Pocket Monsters Diamond & Pearl: Giratina to Sora no Hanataba Shaymin (Pokemon: Giratina and the Sky Warrior),6.47,429,16419,15207,"1,045",7,1,4,Finished,"Apr  15, 2008 to Jun  13, 2008","['Action', 'Adventure', 'Fantasy']",[],"Hijioka, Makoto (Story & Art)",0,"[0, 0, 0]"
Usotsuki na Cinderella (The Cinderella Inheritance),6.47,208,16420,26988,385,1,1,Unknown,Finished,2008,[],[],None,0,"[0, 0, 0]"
Ichiman Pound no Hanamuko,6.47,200,16421,27647,367,0,1,1,Finished,2008,[],[],"Kurebayashi, Tsukiko (Art)",0,"[0, 0, 0]"
Seishun Limited,6.47,401,16422,20156,666,0,Unknown,1,Finished,"Aug  9, 2008",[],[],Kana (Story & Art),0,"[0, 0, 0]"
Kudrayvka,6.47,285,16423,22983,525,1,Unknown,1,Finished,"Sep  10, 2008","['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",[],"Ishihara, Keiko (Story & Art)",0,"[0, 0, 0]"
Final Fantasy Reishiki (Final Fantasy Type-0),6.47,597,16424,11010,"1,642",22,1,4,Finished,"Nov  12, 2011 to Feb  10, 2012","['Action', 'Fantasy', 'Slice of Life']","['Mecha', 'Military', 'School', 'Strategy Game']","Shiozawa, Takatoshi (Art), Chiba, Hiroki (Story)",1,"[0, 0, 1]"
Sore ga Kimi ni Naru,6.47,598,16425,14453,"1,123",1,1,8,Finished,"Jul  18, 2009 to Jul  17, 2010","['Drama', 'Girls Love', 'Romance', 'Slice of Life']",[],"Hakamada, Mera (Story & Art)",0,"[0, 0, 0]"
Trance Knights,6.47,246,16426,20983,621,1,1,7,Finished,"Oct  18, 2011 to Oct  18, 2012","['Action', 'Sci-Fi']",[],"Kugayama, Reki (Story & Art)",0,"[0, 0, 0]"
Tomoshibi,6.47,208,16427,23050,523,1,1,11,Finished,"Feb  20, 1987",[],[],"Sakaguchi, Hisashi (Story & Art)",1,"[1, 0, 0]"
Kare to Watashi no Anna Koto...,6.47,183,16428,20992,620,3,1,8,Finished,"Feb  24, 2012 to Jul  24, 2012",[],[],"Yumachi, Shin (Story & Art)",0,"[0, 0, 0]"
Igyoujin Oniwakamaru,6.47,432,16429,12062,"1,443",1,4,33,Finished,2003 to  2004,"['Action', 'Supernatural']",[],"Saruwatari, Tetsuya (Story & Art)",1,"[0, 1, 0]"
Ashita no Kyouko-san (Kyoko the Tomorrow),6.47,380,16430,10556,"1,736",0,7,106,Finished,"Jan  19, 2010 to Feb  10, 2018","['Comedy', 'Fantasy']",[],"Iwasaki, Masakazu (Story & Art)",0,"[0, 0, 0]"
Boku wa Tomodachi ga Sukunai x Seitokai no Ichizon Crossover Special,6.47,367,16431,13569,"1,229",4,Unknown,2,Finished,"Mar  19, 2012 to Apr  27, 2012",[],[],"Aoi, Sekina (Story), Hirasaka, Yomi (Story), 10mo (Art), Itachi (Art)",0,"[0, 0, 0]"
Hantsu x Trash,6.47,4418,16432,1422,"14,485",78,18,199,Finished,"Jul  23, 2012 to Jan  6, 2020","['Comedy', 'Romance', 'Sports', 'Ecchi']","['School', 'Team Sports']","Kobayashi, Hiyoko (Story & Art)",6,"[4, 2, 0]"
Ubawareta Hanayome (Vengeful Seduction),6.47,115,16433,32856,247,0,1,Unknown,Finished,2009,[],[],"Midori, Yukako (Art), Williams, Cathy (Story)",0,"[0, 0, 0]"
Crown Gear,6.47,115,16434,34553,220,0,Unknown,1,Finished,2011,"['Action', 'Comedy', 'Drama']",[],"Satogane, Shou (Story & Art)",0,"[0, 0, 0]"
Asao-san to Kurata-kun,6.47,151,16435,13063,"1,299",4,8,69,Finished,"Oct  16, 2008 to May  15, 2014","['Comedy', 'Slice of Life']",[],HERO (Story & Art),0,"[0, 0, 0]"
Until You Fall Asleep,6.47,157,16436,30450,295,1,Unknown,1,Finished,2012,[],[],"Yoon, Lee Hyun (Story & Art)",1,"[1, 0, 0]"
