Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Watashi Igai Jinrui Zenin Yuri (The Whole of Humanity Has Gone Yuri Except for Me),6.58,2208,15027,4375,"4,960",24,2,11,Finished,"Dec  26, 2018 to Jun  5, 2020","['Comedy', 'Girls Love', 'Sci-Fi']",[],"Haruse, Hiroki (Story & Art)",2,"[1, 1, 0]"
Watashi no Tame ni Nuginasai! (Take Off The Clothes For Me),6.58,134,15028,18924,741,1,Unknown,Unknown,Publishing,"Dec  27, 2017 to ?","['Comedy', 'Ecchi']",[],Kurou (Story & Art),0,"[0, 0, 0]"
Gusha no Hoshi (Planet of the Fools),6.58,158,15029,16193,949,0,8,33,Finished,"Aug  6, 2019 to Apr  6, 2022","['Action', 'Adventure', 'Sci-Fi']",[],"Endo, Hiroki (Story & Art)",1,"[1, 0, 0]"
"Miseru, Mitsumeru, Futari dake",6.58,2404,15030,4745,"4,504",13,Unknown,6,Finished,"Apr  24, 2019 to Sep  23, 2020","['Romance', 'Ecchi']",[],"Mihoshi, Megane (Story & Art)",2,"[2, 0, 0]"
Ookiku Nattara Kekkon suru! (You Must Be This Tall to Propose!),6.58,2585,15031,3080,"7,065",8,3,39,Finished,"Aug  19, 2019 to Mar  8, 2021","['Comedy', 'Romance', 'Slice of Life']",[],"Mifuyu, Fumi (Story & Art)",1,"[1, 0, 0]"
"Yoku Wakaranai keredo Isekai ni Tensei shiteita you desu (This Is Screwed Up, but I Was Reincarnated as a GIRL in Another World!)",6.58,2255,15032,2683,"8,050",65,Unknown,Unknown,Publishing,"Oct  4, 2019 to ?","['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']","Uchiuchi, Keyaki (Art), Ashi (Story)",7,"[0, 4, 3]"
Caster & Mild,6.58,127,15033,28400,346,1,1,7,Finished,"Aug  24, 2016 to Jun  24, 2017","['Boys Love', 'Slice of Life']",[],"Kingyobachi, Deme (Story & Art)",0,"[0, 0, 0]"
Boushokuki no Ken (The Sword of Princess Gluttony),6.58,818,15034,5992,"3,476",3,Unknown,Unknown,Publishing,"Aug  2, 2019 to ?","['Action', 'Adventure', 'Fantasy']",[],"Necoco (Story), Mochironsan (Art)",3,"[0, 2, 1]"
"Jitsu wa Ore, Saikyou deshita? (Am I Actually the Strongest?)",6.58,4838,15035,1178,"16,700",56,Unknown,Unknown,Publishing,"Apr  3, 2019 to ?","['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']","Sumimori, Sai (Story), Takahashi, Ai (Art)",4,"[3, 0, 1]"
Undead + Unluck,6.58,739,15036,10574,"1,731",27,Unknown,1,Finished,"Jan  28, 2019","['Action', 'Comedy', 'Supernatural', 'Ecchi']",[],"Tozuka, Yoshifumi (Story & Art)",0,"[0, 0, 0]"
Gemini,6.58,149,15037,26407,403,1,Unknown,2,Finished,"Jul  3, 2015 to Jul  17, 2015","['Action', 'Horror', 'Sci-Fi']",[],"Izumi, Tomoki (Story & Art)",0,"[0, 0, 0]"
Soshage Kanojo (Social Game Girl Friend),6.58,263,15038,15178,"1,047",3,1,Unknown,Finished,"Aug  16, 2019","['Comedy', 'Romance', 'Slice of Life']",[],Kentauloss (Story & Art),1,"[1, 0, 0]"
Ikidaore mo Dekinai Konna Isekai ja,6.58,738,15039,10190,"1,815",5,2,14,Finished,"Jun  5, 2020 to Jun  5, 2021","['Comedy', 'Fantasy', 'Romance', 'Slice of Life']",[],"Matsui, Tommy (Art), Natsuno, Yoruko (Story)",0,"[0, 0, 0]"
Hyoujou ga Issai Wakaranai Shirogane-san (I Don't Understand Shirogane Facial Expression at All),6.58,1073,15040,6237,"3,323",12,4,26,Finished,"May  27, 2020 to Oct  27, 2022","['Comedy', 'Romance']",[],Byte (Story & Art),2,"[0, 2, 0]"
